name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Discoshock	1	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	0DIALLPiB2Qo8KvWOnfCDy	0.693	0.484	7	-14.442	1	0.0514	0.0883	0.00811	0.128	0.787	100.509	225620	4	spotify:track:0DIALLPiB2Qo8KvWOnfCDy	https://api.spotify.com/v1/audio-analysis/0DIALLPiB2Qo8KvWOnfCDy
Toda la gente	2	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	550O6pAkqcrexmFCxko0UG	0.709	0.283	1	-18.428	1	0.213	0.317	0.215	0.103	0.457	108.668	159451	4	spotify:track:550O6pAkqcrexmFCxko0UG	https://api.spotify.com/v1/audio-analysis/550O6pAkqcrexmFCxko0UG
Judy disfrazada	3	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	3nFV87zAEFcObN47kFJtaC	0.459	0.372	3	-15.12	1	0.0858	0.277	0.000173	0.225	0.859	165.432	131056	4	spotify:track:3nFV87zAEFcObN47kFJtaC	https://api.spotify.com/v1/audio-analysis/3nFV87zAEFcObN47kFJtaC
Toma rock and roll	4	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	68a2aTcEQF1evuGm8o4AGQ	0.32	0.888	0	-13.086	1	0.0933	0.408	0.893	0.198	0.107	79.232	148219	4	spotify:track:68a2aTcEQF1evuGm8o4AGQ	https://api.spotify.com/v1/audio-analysis/68a2aTcEQF1evuGm8o4AGQ
¿No te sobra una moneda?	5	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	1QYBbZIUkKd8aiXGuBqTnP	0.403	0.66	2	-12.584	1	0.0366	0.559	0.0497	0.777	0.549	135.849	252578	4	spotify:track:1QYBbZIUkKd8aiXGuBqTnP	https://api.spotify.com/v1/audio-analysis/1QYBbZIUkKd8aiXGuBqTnP
Variaciones sobre el paso del elefantito	6	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	2mpmdGyRWWD9aEYGoScBPH	0.752	0.332	2	-14.388	1	0.19	0.0772	0.703	0.123	0.896	116.566	171677	4	spotify:track:2mpmdGyRWWD9aEYGoScBPH	https://api.spotify.com/v1/audio-analysis/2mpmdGyRWWD9aEYGoScBPH
El cha cha cha	7	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	1sGI7kT5cLK3ezyMXgnUA6	0.383	0.45	0	-14.085	1	0.0526	0.257	0.000219	0.107	0.251	67.452	222130	4	spotify:track:1sGI7kT5cLK3ezyMXgnUA6	https://api.spotify.com/v1/audio-analysis/1sGI7kT5cLK3ezyMXgnUA6
Sono io	8	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	53lNYMGvqyXTnzwexToxDO	0.452	0.438	7	-20.067	1	0.101	0.66	0.855	0.127	0.492	116.172	161489	4	spotify:track:53lNYMGvqyXTnzwexToxDO	https://api.spotify.com/v1/audio-analysis/53lNYMGvqyXTnzwexToxDO
La hija del coronel	9	1	4aiJGp6rxbWZapNexjWIvt	Billy Bond and The Jets	Billy Bond and The Jets	3tC2OYm6AiNsEM48GcYcbE	0.453	0.357	9	-17.085	1	0.535	0.372	3.72e-06	0.108	0.833	189.653	187899	4	spotify:track:3tC2OYm6AiNsEM48GcYcbE	https://api.spotify.com/v1/audio-analysis/3tC2OYm6AiNsEM48GcYcbE
Nos Siguen Pegando Abajo	1	1	3OyBf97NOuJjhEpQHY920H	Clics Modernos	Charly García	4VikOud5ZmdmHH6h7uQeDB	0.655	0.894	2	-7.696	1	0.0994	0.0271	0.0684	0.0414	0.785	152.354	206720	4	spotify:track:4VikOud5ZmdmHH6h7uQeDB	https://api.spotify.com/v1/audio-analysis/4VikOud5ZmdmHH6h7uQeDB
