name|track_number|disc_number|album_id|album_name|album_artist|id|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|duration_ms|time_signature|uri|analysis_url
La mamá de Jimmy - León Gieco|1|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|5ZOOHkuzNi2e2zdwphse4e|0.617|0.46|7|-16.19|1|0.0917|0.14|0.739|0.649|0.668|126.472|219039|4|spotify:track:5ZOOHkuzNi2e2zdwphse4e|https://api.spotify.com/v1/audio-analysis/5ZOOHkuzNi2e2zdwphse4e
Fusia - Nito Mestre|2|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|6mmYcy74mOebT2zmqn88Ac|0.4|0.0231|7|-26.529|1|0.0342|0.932|0.23|0.0989|0.069|109.325|211999|3|spotify:track:6mmYcy74mOebT2zmqn88Ac|https://api.spotify.com/v1/audio-analysis/6mmYcy74mOebT2zmqn88Ac
Viejo, solo y borracho - León Gieco|3|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|7CUz5MVOv9YNV9Nuevhhmm|0.421|0.212|7|-21.885|1|0.0462|0.677|0.89|0.0829|0.168|119.035|209019|4|spotify:track:7CUz5MVOv9YNV9Nuevhhmm|https://api.spotify.com/v1/audio-analysis/7CUz5MVOv9YNV9Nuevhhmm
Burbujas musicales - Instrumental|4|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|1uaQIb6ijkNOmrmlZljI5m|0.394|0.00719|4|-42.82|0|0.0344|0.909|0.0342|0.157|0.0339|106.368|28944|4|spotify:track:1uaQIb6ijkNOmrmlZljI5m|https://api.spotify.com/v1/audio-analysis/1uaQIb6ijkNOmrmlZljI5m
Tu alma te mira hoy - Nito Mestre, Charly García y León Gieco|5|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|7EuxJmFcYU8v5vt8c89zk3|0.534|0.174|7|-20.196|1|0.0338|0.471|0.0501|0.092|0.26|88.559|311014|4|spotify:track:7EuxJmFcYU8v5vt8c89zk3|https://api.spotify.com/v1/audio-analysis/7EuxJmFcYU8v5vt8c89zk3
Las puertas del acuario - Raúl Porchetto y Nito Mestre|6|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|1434wjsEElhNCoOyKfwQWS|0.351|0.162|2|-19.343|1|0.0308|0.582|1.78e-4|0.358|0.15|100.178|274023|4|spotify:track:1434wjsEElhNCoOyKfwQWS|https://api.spotify.com/v1/audio-analysis/1434wjsEElhNCoOyKfwQWS
Quiero ver, quiero ser, quiero entrar - Maria Rosa Yorio|7|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|5f7klRsXV8ife3ZqOOCxPE|0.353|0.0768|7|-22.612|1|0.0338|0.979|0.256|0.0899|0.186|109.692|300024|4|spotify:track:5f7klRsXV8ife3ZqOOCxPE|https://api.spotify.com/v1/audio-analysis/5f7klRsXV8ife3ZqOOCxPE
Mujer del bosque - Raúl Porchetto|8|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|13aruUWipliujeNkv1bzg1|0.311|0.12|5|-22.172|1|0.033|0.918|0.676|0.0656|0.0844|75.238|207007|4|spotify:track:13aruUWipliujeNkv1bzg1|https://api.spotify.com/v1/audio-analysis/13aruUWipliujeNkv1bzg1
Todos los caballos blancos - Maria Rosa Yorio|9|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|02tIEnsR4A1lIBbGPpJs1G|0.457|0.112|2|-19.501|1|0.0387|0.551|0.88|0.118|0.157|114.201|243011|4|spotify:track:02tIEnsR4A1lIBbGPpJs1G|https://api.spotify.com/v1/audio-analysis/02tIEnsR4A1lIBbGPpJs1G
Antes de gira - Charly García|10|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|1TpXUHVG4R3T1oqZoLhTsR|0.286|0.0707|9|-21.141|1|0.0309|0.957|0.618|0.0976|0.0785|96.436|280020|4|spotify:track:1TpXUHVG4R3T1oqZoLhTsR|https://api.spotify.com/v1/audio-analysis/1TpXUHVG4R3T1oqZoLhTsR
La colina de la vida - León Gieco|11|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|2JmfB9i73m8daDafBp3sed|0.28|0.0593|11|-23.705|0|0.0362|0.882|0.733|0.619|0.102|147.463|334035|3|spotify:track:2JmfB9i73m8daDafBp3sed|https://api.spotify.com/v1/audio-analysis/2JmfB9i73m8daDafBp3sed
El fantasma de Canterville - León Gieco|12|1|4tYYZ1hDtg6A8CjtuBarb2|PorSuiGieco|PorSuiGieco|1CABCEHC8I0WkxTrvR3EIb|0.391|0.171|7|-16.421|1|0.0394|0.961|0.0133|0.126|0.338|94.69|242154|4|spotify:track:1CABCEHC8I0WkxTrvR3EIb|https://api.spotify.com/v1/audio-analysis/1CABCEHC8I0WkxTrvR3EIb
