name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Yendo De La Cama Al Living	1	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	21hn984mwKh5fzAmxiNJ4u	0.65	0.263	7	-17.011	0	0.0582	0.428	3.8e-4	0.202	0.493	79.892	283920	4	spotify:track:21hn984mwKh5fzAmxiNJ4u	https://api.spotify.com/v1/audio-analysis/21hn984mwKh5fzAmxiNJ4u
Superhéroes	2	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	5k4NLAhx4nGzaF2JrHVnU9	0.466	0.393	7	-19.415	1	0.0613	0.404	5.92e-5	0.133	0.218	79.521	264693	4	spotify:track:5k4NLAhx4nGzaF2JrHVnU9	https://api.spotify.com/v1/audio-analysis/5k4NLAhx4nGzaF2JrHVnU9
No Soy Un Extraño	3	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	5P6IlEuSAFNE1RJ5uxIl3T	0.74	0.463	7	-14.216	0	0.0306	0.414	0.48	0.106	0.71	115.981	193640	4	spotify:track:5P6IlEuSAFNE1RJ5uxIl3T	https://api.spotify.com/v1/audio-analysis/5P6IlEuSAFNE1RJ5uxIl3T
No Se Va A Llamar Mi Amor	4	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	2JrDzFN6Bne99jPVj4Y8P3	0.621	0.907	2	-11.091	1	0.0644	0.159	1.76e-5	0.0869	0.626	127.245	131093	4	spotify:track:2JrDzFN6Bne99jPVj4Y8P3	https://api.spotify.com/v1/audio-analysis/2JrDzFN6Bne99jPVj4Y8P3
Los Dinosaurios	5	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	57GfKwny69x61eU3oKwcbP	0.329	0.368	5	-14.124	1	0.0333	0.714	0.0026	0.112	0.375	165.963	204640	4	spotify:track:57GfKwny69x61eU3oKwcbP	https://api.spotify.com/v1/audio-analysis/57GfKwny69x61eU3oKwcbP
Inconsciente Colectivo	6	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	6H7PFY52cDUBalFMqWO19G	0.617	0.215	8	-15.82	0	0.0302	0.658	3.55e-6	0.209	0.107	87.907	224600	4	spotify:track:6H7PFY52cDUBalFMqWO19G	https://api.spotify.com/v1/audio-analysis/6H7PFY52cDUBalFMqWO19G
Vos También Estabas Verde	7	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	3TyFEH1eB7m2FmN2ACQI8C	0.303	0.184	7	-19.633	1	0.0434	0.798	0.0158	0.193	0.0964	111.921	184693	4	spotify:track:3TyFEH1eB7m2FmN2ACQI8C	https://api.spotify.com/v1/audio-analysis/3TyFEH1eB7m2FmN2ACQI8C
Nos Siguen Pegando Abajo	8	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	3cQjYe9lW3LNWGR52yyZJ3	0.648	0.796	2	-11.482	1	0.0445	0.0382	0.344	0.0399	0.961	150.879	208800	4	spotify:track:3cQjYe9lW3LNWGR52yyZJ3	https://api.spotify.com/v1/audio-analysis/3cQjYe9lW3LNWGR52yyZJ3
Cómo Me Gustaría Ser Negro	9	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	1HZgMbTair9Yl4UK1tPb4f	0.457	0.482	1	-14.934	0	0.0462	0.48	0.358	0.388	0.314	96.657	196907	4	spotify:track:1HZgMbTair9Yl4UK1tPb4f	https://api.spotify.com/v1/audio-analysis/1HZgMbTair9Yl4UK1tPb4f
No Me Dejan Salir	10	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	1xrIpksF4fArFD1G78gtvl	0.723	0.599	0	-14.059	1	0.0642	0.0555	0.345	0.0607	0.967	162.229	260027	4	spotify:track:1xrIpksF4fArFD1G78gtvl	https://api.spotify.com/v1/audio-analysis/1xrIpksF4fArFD1G78gtvl
Raros Peinados Nuevos	11	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	45b36tRUIWUahcZNLjwOPm	0.819	0.445	7	-15.238	0	0.036	0.178	0.00237	0.0473	0.697	109.657	218333	4	spotify:track:45b36tRUIWUahcZNLjwOPm	https://api.spotify.com/v1/audio-analysis/45b36tRUIWUahcZNLjwOPm
Promesas Sobre El Bidet	12	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	7aSFRdx76hGkKDgy0o3CjU	0.805	0.442	5	-14.18	1	0.0289	0.436	0.00108	0.103	0.484	110.192	166253	4	spotify:track:7aSFRdx76hGkKDgy0o3CjU	https://api.spotify.com/v1/audio-analysis/7aSFRdx76hGkKDgy0o3CjU
Bancate Ese Defecto	13	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	7eMw0PLb7F2vl6AlM8fd12	0.53	0.498	7	-15.07	1	0.0488	0.521	0.394	0.129	0.507	178.781	300173	4	spotify:track:7eMw0PLb7F2vl6AlM8fd12	https://api.spotify.com/v1/audio-analysis/7eMw0PLb7F2vl6AlM8fd12
Demoliendo Hoteles	14	1	0WqNtFodzdSDvEv6dNKSQN	El Álbum	Charly García	0lAnemz3ABp7HwuKxp3MRL	0.628	0.592	10	-11.891	1	0.0711	0.00361	0	0.287	0.442	78.205	137267	4	spotify:track:0lAnemz3ABp7HwuKxp3MRL	https://api.spotify.com/v1/audio-analysis/0lAnemz3ABp7HwuKxp3MRL
