name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
De Mí	1	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	5xnv9ka866mxTHdy9VHIm7	0.61	0.21	7	-18.458	1	0.0307	0.87	4.33e-5	0.167	0.158	106.784	186800	4	spotify:track:5xnv9ka866mxTHdy9VHIm7	https://api.spotify.com/v1/audio-analysis/5xnv9ka866mxTHdy9VHIm7
Filosofía Barata y Zapatos de Goma	2	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	03mG8gRIri8ZO92bYmcERo	0.588	0.404	9	-15.656	0	0.0352	0.0923	0.0271	0.0613	0.206	100.16	231733	4	spotify:track:03mG8gRIri8ZO92bYmcERo	https://api.spotify.com/v1/audio-analysis/03mG8gRIri8ZO92bYmcERo
Reloj de Plastilina	3	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	4MMlauJ06Zm1apM1aPe7HZ	0.63	0.681	2	-15.605	1	0.0332	0.0274	2.53e-5	0.109	0.896	130.178	281933	4	spotify:track:4MMlauJ06Zm1apM1aPe7HZ	https://api.spotify.com/v1/audio-analysis/4MMlauJ06Zm1apM1aPe7HZ
Gato de Metal	4	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	5cuCRYWFrB1sLvuEd3xpt4	0.64	0.433	2	-15.617	1	0.029	0.0334	4.12e-4	0.0705	0.395	101.675	194733	4	spotify:track:5cuCRYWFrB1sLvuEd3xpt4	https://api.spotify.com/v1/audio-analysis/5cuCRYWFrB1sLvuEd3xpt4
No Te Mueras en Mi Casa	5	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	7qL5SE7pZ0QQK6ZUYNrugQ	0.749	0.527	9	-16.274	0	0.0464	0.00497	3.3e-6	0.137	0.839	125.13	211867	4	spotify:track:7qL5SE7pZ0QQK6ZUYNrugQ	https://api.spotify.com/v1/audio-analysis/7qL5SE7pZ0QQK6ZUYNrugQ
Curitas	6	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	1jYONbw7wZfVPbQDkffo5w	0.734	0.413	5	-16.285	0	0.04	0.0102	0.00908	0.0707	0.776	115.008	336067	4	spotify:track:1jYONbw7wZfVPbQDkffo5w	https://api.spotify.com/v1/audio-analysis/1jYONbw7wZfVPbQDkffo5w
Solo un Poquito No Más	7	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	2RvDh9M7KQy4lSpMqusw8a	0.508	0.315	7	-20.336	1	0.0346	0.0312	0	0.182	0.346	103.714	208467	4	spotify:track:2RvDh9M7KQy4lSpMqusw8a	https://api.spotify.com/v1/audio-analysis/2RvDh9M7KQy4lSpMqusw8a
Me Siento Mucho Mejor	8	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	3C5OdJjudhoDye8E5mU3nI	0.516	0.577	9	-14.804	1	0.0299	9.57e-4	0.00441	0.0629	0.946	140.873	184667	4	spotify:track:3C5OdJjudhoDye8E5mU3nI	https://api.spotify.com/v1/audio-analysis/3C5OdJjudhoDye8E5mU3nI
Siempre Puedes Olvidar	9	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	64r4bboZRgiz0SE7cVtDC1	0.503	0.176	5	-19.164	1	0.0285	0.0235	0.00166	0.0398	0.156	59.657	231000	4	spotify:track:64r4bboZRgiz0SE7cVtDC1	https://api.spotify.com/v1/audio-analysis/64r4bboZRgiz0SE7cVtDC1
La Canción del Indeciso	10	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	0Rz8ONBkHKGMYZctMUSHQP	0.748	0.325	11	-18.624	0	0.0596	0.0156	0	0.107	0.681	125.82	182560	4	spotify:track:0Rz8ONBkHKGMYZctMUSHQP	https://api.spotify.com/v1/audio-analysis/0Rz8ONBkHKGMYZctMUSHQP
Himno Nacional Argentino	11	1	4eZKmaAjQLChmpJ7uqoZAY	Filosofía Barata y Zapatos de Goma	Charly García	1TGzIHydkrLZjl1BUyxyZ7	0.29	0.167	0	-20.492	1	0.033	0.0769	0.0565	0.245	0.0997	101.102	275147	4	spotify:track:1TGzIHydkrLZjl1BUyxyZ7	https://api.spotify.com/v1/audio-analysis/1TGzIHydkrLZjl1BUyxyZ7
