name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
No Toquen	1	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	7lpSDtQDfHgfOmggQv8mik	0.528	0.579	9	-11.119	1	0.0279	3.4e-4	0.719	0.37	0.635	146.832	209560	4	spotify:track:7lpSDtQDfHgfOmggQv8mik	https://api.spotify.com/v1/audio-analysis/7lpSDtQDfHgfOmggQv8mik
Zocacola	2	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	0yAChuncahvimREBFSCIIP	0.553	0.31	5	-17.924	1	0.031	0.132	0.0361	0.162	0.353	167.626	167067	4	spotify:track:0yAChuncahvimREBFSCIIP	https://api.spotify.com/v1/audio-analysis/0yAChuncahvimREBFSCIIP
Fanky	3	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	5iVRdHAUDp3cW2I8d6czBS	0.759	0.589	0	-12.313	1	0.0398	5.66e-4	0.62	0.0682	0.583	111.148	284733	4	spotify:track:5iVRdHAUDp3cW2I8d6czBS	https://api.spotify.com/v1/audio-analysis/5iVRdHAUDp3cW2I8d6czBS
No Me Veras En El Subte	4	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	5Tw7AoBFXanHhHEAKPIZBs	0.332	0.218	7	-15.611	0	0.0326	0.0165	0.518	0.104	0.0673	116.282	305000	4	spotify:track:5Tw7AoBFXanHhHEAKPIZBs	https://api.spotify.com/v1/audio-analysis/5Tw7AoBFXanHhHEAKPIZBs
Ella Es Bailarina	5	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	42Aqk2hUNde8UCzegsrWJy	0.684	0.73	10	-11.999	1	0.0643	0.00513	0.00279	0.105	0.869	164.818	177867	4	spotify:track:42Aqk2hUNde8UCzegsrWJy	https://api.spotify.com/v1/audio-analysis/42Aqk2hUNde8UCzegsrWJy
Anhedonia	6	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	09MPjASnrLwo4ejyNz56Rv	0.595	0.366	4	-17.745	0	0.0389	0.0376	0.698	0.616	0.346	158.981	263200	4	spotify:track:09MPjASnrLwo4ejyNz56Rv	https://api.spotify.com/v1/audio-analysis/09MPjASnrLwo4ejyNz56Rv
Suicida	7	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	04ssCfJJYy9nV60weLJUZh	0.706	0.57	0	-13.444	1	0.0371	0.0838	0.00536	0.199	0.737	99.184	196040	4	spotify:track:04ssCfJJYy9nV60weLJUZh	https://api.spotify.com/v1/audio-analysis/04ssCfJJYy9nV60weLJUZh
Fantasy	8	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	3wOuXyBZaIF7b8IVzQy7y8	0.6	0.449	5	-14.068	1	0.0328	0.00117	0.00984	0.0874	0.238	112.818	182627	4	spotify:track:3wOuXyBZaIF7b8IVzQy7y8	https://api.spotify.com/v1/audio-analysis/3wOuXyBZaIF7b8IVzQy7y8
A Punto De Caer	9	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	52Y8qdzbLAnHJqoQ8UAYp8	0.62	0.187	7	-19.107	1	0.0304	0.0897	0.275	0.0414	0.166	83.148	183373	4	spotify:track:52Y8qdzbLAnHJqoQ8UAYp8	https://api.spotify.com/v1/audio-analysis/52Y8qdzbLAnHJqoQ8UAYp8
Shisyastanaman	10	1	7150qYQFyVskNOFtw5oCPr	Como Conseguir Chicas	Charly García	03gSTaQeHqlmQr5C26gPYb	0.651	0.341	4	-15.305	1	0.0243	0.0141	0.312	0.087	0.36	99.328	270200	4	spotify:track:03gSTaQeHqlmQr5C26gPYb	https://api.spotify.com/v1/audio-analysis/03gSTaQeHqlmQr5C26gPYb
