name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Cerca De La Revolución	1	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	2BA8DWfjstSO3HEm6vLcQu	0.676	0.917	2	-7.293	1	0.0572	0.195	3.07e-6	0.276	0.736	112.613	282227	4	spotify:track:2BA8DWfjstSO3HEm6vLcQu	https://api.spotify.com/v1/audio-analysis/2BA8DWfjstSO3HEm6vLcQu
Piano Bar	2	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	1x0fqqM35ileHoxDC6IEpm	0.521	0.649	0	-9.071	1	0.0388	0.0417	0.0131	0.106	0.11	116.292	297733	4	spotify:track:1x0fqqM35ileHoxDC6IEpm	https://api.spotify.com/v1/audio-analysis/1x0fqqM35ileHoxDC6IEpm
No Me Dejan Salir	3	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	2RWrmz4fBgjC8m804P4E0J	0.721	0.803	0	-7.882	1	0.101	0.0785	0.125	0.0385	0.962	162.317	263293	4	spotify:track:2RWrmz4fBgjC8m804P4E0J	https://api.spotify.com/v1/audio-analysis/2RWrmz4fBgjC8m804P4E0J
No Llores Por Mí, Argentina	4	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	3iX2vy2WLPmQ9vsuZWTmFb	0.466	0.84	0	-6.582	1	0.0418	0.0857	1.27e-5	0.318	0.962	145.984	205907	4	spotify:track:3iX2vy2WLPmQ9vsuZWTmFb	https://api.spotify.com/v1/audio-analysis/3iX2vy2WLPmQ9vsuZWTmFb
Inconsciente Colectivo	5	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	7nP3UkswQXsoYi0Wm32ApT	0.721	0.369	7	-9.638	1	0.0503	0.566	1.39e-5	0.0727	0.339	92.973	235813	4	spotify:track:7nP3UkswQXsoYi0Wm32ApT	https://api.spotify.com/v1/audio-analysis/7nP3UkswQXsoYi0Wm32ApT
Demoliendo Hoteles	6	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	2r3LFdBGHq5zDC5LHXIgEr	0.606	0.695	10	-8.242	0	0.065	0.00405	0	0.0734	0.403	78.749	137973	4	spotify:track:2r3LFdBGHq5zDC5LHXIgEr	https://api.spotify.com/v1/audio-analysis/2r3LFdBGHq5zDC5LHXIgEr
Tuve Tu Amor	7	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	6qOMNicWusGVj1gxAsYCTw	0.724	0.76	7	-9.095	1	0.0311	0.127	0.00205	0.297	0.513	116.429	212173	4	spotify:track:6qOMNicWusGVj1gxAsYCTw	https://api.spotify.com/v1/audio-analysis/6qOMNicWusGVj1gxAsYCTw
Yo No Quiero Volverme Tan Loco	8	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	53CiQVc4STl3kWrhTyyfym	0.698	0.713	2	-9.469	1	0.144	0.243	0	0.167	0.58	118.749	311987	4	spotify:track:53CiQVc4STl3kWrhTyyfym	https://api.spotify.com/v1/audio-analysis/53CiQVc4STl3kWrhTyyfym
No Soy Un Extraño	9	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	0kIQySIfoPG5LGYCipenE3	0.7	0.704	7	-9.812	0	0.0297	0.31	0.0282	0.313	0.642	117.175	194853	4	spotify:track:0kIQySIfoPG5LGYCipenE3	https://api.spotify.com/v1/audio-analysis/0kIQySIfoPG5LGYCipenE3
Hablando A Tu Corazón	10	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	5A7Ddt0YQ8ZsZ0xancbHzz	0.64	0.818	9	-7.609	1	0.0801	0.141	2.23e-4	0.06	0.548	117.657	311160	4	spotify:track:5A7Ddt0YQ8ZsZ0xancbHzz	https://api.spotify.com/v1/audio-analysis/5A7Ddt0YQ8ZsZ0xancbHzz
Dos Cero Uno	11	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	5fcD5aBsdQsQVBeDJ7btHS	0.714	0.516	5	-10.337	1	0.128	0.662	0.00874	0.0674	0.627	174.947	131227	4	spotify:track:5fcD5aBsdQsQVBeDJ7btHS	https://api.spotify.com/v1/audio-analysis/5fcD5aBsdQsQVBeDJ7btHS
Vos También Estabas Verde	12	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	7EqF5witHxXoSWUsOgZZJJ	0.364	0.335	7	-9.037	1	0.0389	0.773	5.88e-6	0.114	0.191	112.508	186760	4	spotify:track:7EqF5witHxXoSWUsOgZZJJ	https://api.spotify.com/v1/audio-analysis/7EqF5witHxXoSWUsOgZZJJ
Raros Peinados Nuevos	13	1	3Tawntohn1YVK9kYKQXw0H	Cuarenta Obras Fundamentales (Volumen 1)	Charly García	0DdFbd9k0ilGeYy60jziE3	0.802	0.683	7	-8.859	0	0.0348	0.185	0.00229	0.0523	0.749	111.186	216520	4	spotify:track:0DdFbd9k0ilGeYy60jziE3	https://api.spotify.com/v1/audio-analysis/0DdFbd9k0ilGeYy60jziE3
