name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
El Aguante	1	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	20YGP4Rz7hPIBnntRbKwKi	0.569	0.641	9	-8.19	1	0.0524	0.278	0.0135	0.523	0.389	114.581	207133	4	spotify:track:20YGP4Rz7hPIBnntRbKwKi	https://api.spotify.com/v1/audio-analysis/20YGP4Rz7hPIBnntRbKwKi
Kill My Mother	2	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	0SZD6Z6s5SHyIzYUWdsGDf	0.604	0.561	2	-8.186	1	0.0291	0.755	0.687	0.081	0.535	103.575	524333	4	spotify:track:0SZD6Z6s5SHyIzYUWdsGDf	https://api.spotify.com/v1/audio-analysis/0SZD6Z6s5SHyIzYUWdsGDf
Pedro Trabaja En El Cine	3	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	2pYAhk8ZjDIsNgoKJdldUT	0.295	0.47	2	-8.104	1	0.0279	0.285	0.0115	0.312	0.131	134.61	264693	4	spotify:track:2pYAhk8ZjDIsNgoKJdldUT	https://api.spotify.com/v1/audio-analysis/2pYAhk8ZjDIsNgoKJdldUT
No Estaria Mal	4	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	6fcQd9qhTpozyXCivp5s9f	0.635	0.688	2	-8.296	1	0.033	0.22	0.015	0.526	0.916	130.161	172907	4	spotify:track:6fcQd9qhTpozyXCivp5s9f	https://api.spotify.com/v1/audio-analysis/6fcQd9qhTpozyXCivp5s9f
Soldado De Lata	5	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	2FVHqaD384a38HgEPpACDu	0.625	0.689	9	-7.341	1	0.113	0.196	1.58e-5	0.123	0.6	116.15	211733	4	spotify:track:2FVHqaD384a38HgEPpACDu	https://api.spotify.com/v1/audio-analysis/2FVHqaD384a38HgEPpACDu
Correte Beethoven	6	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	58D0ABMaZKYR7cOrxOQuTm	0.627	0.947	1	-8.613	1	0.0924	0.0116	0.065	0.259	0.709	118.355	261760	4	spotify:track:58D0ABMaZKYR7cOrxOQuTm	https://api.spotify.com/v1/audio-analysis/58D0ABMaZKYR7cOrxOQuTm
Tu Arma en el Sur	7	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	4azrY0SbGfPN5TlwF98gR4	0.481	0.466	9	-10.301	1	0.03	0.563	0.132	0.14	0.619	130.674	308640	4	spotify:track:4azrY0SbGfPN5TlwF98gR4	https://api.spotify.com/v1/audio-analysis/4azrY0SbGfPN5TlwF98gR4
Dos Edificios Dorados	8	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	5weGEdndY1ZoFUBeEYBqWu	0.22	0.856	9	-8.073	0	0.0514	0.224	0.521	0.123	0.405	169.592	325640	4	spotify:track:5weGEdndY1ZoFUBeEYBqWu	https://api.spotify.com/v1/audio-analysis/5weGEdndY1ZoFUBeEYBqWu
Uno A Uno	9	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	5mzO3RR5JRVqjS8YgnTAQr	0.674	0.745	7	-5.896	1	0.0374	0.0212	0.00158	0.137	0.85	101.669	180733	4	spotify:track:5mzO3RR5JRVqjS8YgnTAQr	https://api.spotify.com/v1/audio-analysis/5mzO3RR5JRVqjS8YgnTAQr
Lo Que Ves Es Lo Que Hay (Todo El Mundo Quiere Olvidar)	10	1	7bwsOicjOJpELfFU2AQrjq	El Aguante	Charly García	1HNgmnOOopiBhsvqqjBlfM	0.352	0.614	4	-7.601	0	0.0328	0.54	0.31	0.101	0.181	143.573	477920	4	spotify:track:1HNgmnOOopiBhsvqqjBlfM	https://api.spotify.com/v1/audio-analysis/1HNgmnOOopiBhsvqqjBlfM
