name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
No Voy en Tren	1	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	5MV4J9OdmVGz63b1gnezp6	0.839	0.859	2	-8.96	1	0.0394	0.286	0.336	0.0224	0.967	123.559	181360	4	spotify:track:5MV4J9OdmVGz63b1gnezp6	https://api.spotify.com/v1/audio-analysis/5MV4J9OdmVGz63b1gnezp6
Fanky	2	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	0X0rXpmcHjt3Y28RnvViqs	0.748	0.502	7	-13.473	0	0.0398	2.32e-4	0.775	0.053900000000000003	0.408	111.134	287000	4	spotify:track:0X0rXpmcHjt3Y28RnvViqs	https://api.spotify.com/v1/audio-analysis/0X0rXpmcHjt3Y28RnvViqs
De Mí	3	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	3VjkXOiRAcPdQ9RKK3BSgS	0.61	0.346	7	-12.728	1	0.0315	0.881	6.53e-5	0.167	0.169	107	175373	4	spotify:track:3VjkXOiRAcPdQ9RKK3BSgS	https://api.spotify.com/v1/audio-analysis/3VjkXOiRAcPdQ9RKK3BSgS
Me Siento Mucho Mejor	4	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	0Pdp2gduPccg1vF4HvIcCU	0.521	0.631	9	-12.721	1	0.0301	0.00145	0.00449	0.0405	0.934	140.918	186960	4	spotify:track:0Pdp2gduPccg1vF4HvIcCU	https://api.spotify.com/v1/audio-analysis/0Pdp2gduPccg1vF4HvIcCU
Tu Amor	5	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	6kxtzhAuCVJZVRC3SUri7a	0.64	0.49	2	-14.095	1	0.261	0.375	0	0.0733	0.531	176.074	186693	4	spotify:track:6kxtzhAuCVJZVRC3SUri7a	https://api.spotify.com/v1/audio-analysis/6kxtzhAuCVJZVRC3SUri7a
Rap de las Hormigas	6	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	6knhkGeI2ukHjNfo39E7y1	0.676	0.867	8	-9.627	1	0.0447	0.381	0.317	0.277	0.888	124.604	194307	4	spotify:track:6knhkGeI2ukHjNfo39E7y1	https://api.spotify.com/v1/audio-analysis/6knhkGeI2ukHjNfo39E7y1
Rezo por Vos	7	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	3ZMIt1rkP7nFnqwlVDIPVa	0.614	0.783	2	-10.72	1	0.0394	0.128	4.57e-5	0.204	0.46	120.645	268480	4	spotify:track:3ZMIt1rkP7nFnqwlVDIPVa	https://api.spotify.com/v1/audio-analysis/3ZMIt1rkP7nFnqwlVDIPVa
Filosofía Barata y Zapatos de Goma	8	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	2suYa6nliwLWFZAIeB0kde	0.588	0.452	9	-14.248	0	0.0325	0.0961	0.0377	0.0797	0.212	100.193	235040	4	spotify:track:2suYa6nliwLWFZAIeB0kde	https://api.spotify.com/v1/audio-analysis/2suYa6nliwLWFZAIeB0kde
Buscando un Símbolo de Paz	9	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	19eNDfuBRzcHKRVhGPGvrb	0.699	0.875	5	-9.596	1	0.0448	0.0565	0.00316	0.144	0.63	115.741	282640	4	spotify:track:19eNDfuBRzcHKRVhGPGvrb	https://api.spotify.com/v1/audio-analysis/19eNDfuBRzcHKRVhGPGvrb
Hablando A Tu Corazón	10	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	3k9dGCm2R2Y70e87aMHYC3	0.668	0.757	9	-11.553	1	0.0405	0.0128	2.16e-5	0.0509	0.912	122.293	255267	4	spotify:track:3k9dGCm2R2Y70e87aMHYC3	https://api.spotify.com/v1/audio-analysis/3k9dGCm2R2Y70e87aMHYC3
Fantasy	11	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	3Qj5PG9R07UbNMbaMNpKYd	0.606	0.45	5	-12.867	1	0.031	4.01e-4	0.00808	0.329	0.263	112.728	179573	4	spotify:track:3Qj5PG9R07UbNMbaMNpKYd	https://api.spotify.com/v1/audio-analysis/3Qj5PG9R07UbNMbaMNpKYd
La Ruta del Tentempié	12	1	7yNFDuCsXe2P0DSenIMKxk	García 87-93	Charly García	4SbQ9hU0Ve1gT1kAni022P	0.681	0.552	0	-9.03	1	0.0311	0.284	0.0228	0.198	0.819	132.495	259520	4	spotify:track:4SbQ9hU0Ve1gT1kAni022P	https://api.spotify.com/v1/audio-analysis/4SbQ9hU0Ve1gT1kAni022P
