name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Necesito Tu Amor	1	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	6DgloAjWErkHK41gFIc9Bu	0.587	0.855	2	-5.249	1	0.0389	0.0181	2.03e-4	0.0609	0.423	103.037	216627	4	spotify:track:6DgloAjWErkHK41gFIc9Bu	https://api.spotify.com/v1/audio-analysis/6DgloAjWErkHK41gFIc9Bu
No Toquen	2	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	0iPjopTYq8gim7BdHXGYnU	0.526	0.774	9	-5.971	1	0.0303	4.66e-4	0.663	0.423	0.616	146.816	209560	4	spotify:track:0iPjopTYq8gim7BdHXGYnU	https://api.spotify.com/v1/audio-analysis/0iPjopTYq8gim7BdHXGYnU
De Mí	3	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	3A27UpBJPh26eC1qhi90FO	0.61	0.408	7	-9.398	1	0.0269	0.873	5.19e-5	0.0747	0.147	106.763	186267	4	spotify:track:3A27UpBJPh26eC1qhi90FO	https://api.spotify.com/v1/audio-analysis/3A27UpBJPh26eC1qhi90FO
Buscando un Símbolo de Paz	4	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	5EkgbISIIWcEiKblDzF5sG	0.687	0.96	5	-4.965	1	0.0699	0.0534	5.23e-4	0.125	0.563	115.756	283173	4	spotify:track:5EkgbISIIWcEiKblDzF5sG	https://api.spotify.com/v1/audio-analysis/5EkgbISIIWcEiKblDzF5sG
La Ruta del Tentempié	5	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	6DU1O56exQeeMiwwK91Fbc	0.646	0.699	0	-5.634	1	0.0304	0.169	0.0385	0.292	0.77	132.483	260040	4	spotify:track:6DU1O56exQeeMiwwK91Fbc	https://api.spotify.com/v1/audio-analysis/6DU1O56exQeeMiwwK91Fbc
Fanky	6	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	6JvSjjltYwVcKJ6TM5imY1	0.764	0.741	0	-7.033	1	0.0377	5.62e-4	0.697	0.0655	0.575	111.159	284733	4	spotify:track:6JvSjjltYwVcKJ6TM5imY1	https://api.spotify.com/v1/audio-analysis/6JvSjjltYwVcKJ6TM5imY1
Filosofía Barata y Zapatos de Goma	7	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	1D47Fbv1US6aZFDZXH2Eey	0.588	0.578	9	-9.704	0	0.0313	0.109	0.0336	0.0726	0.233	100.153	231960	4	spotify:track:1D47Fbv1US6aZFDZXH2Eey	https://api.spotify.com/v1/audio-analysis/1D47Fbv1US6aZFDZXH2Eey
No Voy en Tren	8	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	2Fbekgo3SZrvo9Y5du9xuG	0.81	0.947	2	-4.224	1	0.0514	0.278	0.0725	0.0255	0.96	123.556	181827	4	spotify:track:2Fbekgo3SZrvo9Y5du9xuG	https://api.spotify.com/v1/audio-analysis/2Fbekgo3SZrvo9Y5du9xuG
Me Siento Mucho Mejor	9	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	1AhQetuKoBD1gQotYeNFRL	0.503	0.83	9	-5.633	1	0.0353	0.00143	6.84e-4	0.0561	0.867	140.944	183907	4	spotify:track:1AhQetuKoBD1gQotYeNFRL	https://api.spotify.com/v1/audio-analysis/1AhQetuKoBD1gQotYeNFRL
Rezo por Vos	10	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	7A7S87aWrf6GhfJtqKCvmS	0.558	0.924	2	-5.397	1	0.0547	0.106	1.32e-5	0.291	0.354	120.642	269453	4	spotify:track:7A7S87aWrf6GhfJtqKCvmS	https://api.spotify.com/v1/audio-analysis/7A7S87aWrf6GhfJtqKCvmS
Anhedonia	11	1	72r2s0nbZeSmPMK30eNrua	García, el Más Grande	Charly García	2prdoDFprbunA2AQsgZPsH	0.595	0.518	4	-11.659	0	0.0371	0.0488	0.643	0.51	0.332	158.972	263200	4	spotify:track:2prdoDFprbunA2AQsgZPsH	https://api.spotify.com/v1/audio-analysis/2prdoDFprbunA2AQsgZPsH
