name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Tu Vicio	1	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	3HaE5D0wBDeyf38f5w4CLa	0.764	0.862	9	-6.599	1	0.0338	0.0848	2.62e-4	0.136	0.972	107.79	243840	4	spotify:track:3HaE5D0wBDeyf38f5w4CLa	https://api.spotify.com/v1/audio-analysis/3HaE5D0wBDeyf38f5w4CLa
I'm Not In Love	2	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	0PYfFdbUXPpf0xWmOamNqR	0.79	0.736	9	-5.66	1	0.0325	0.296	1.37e-5	0.103	0.961	113.947	170573	4	spotify:track:0PYfFdbUXPpf0xWmOamNqR	https://api.spotify.com/v1/audio-analysis/0PYfFdbUXPpf0xWmOamNqR
Influencia	3	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	7B8W8kfQwcVubGo2EGosID	0.668	0.704	4	-6.668	0	0.0323	0.0177	4.76e-6	0.0621	0.793	110.001	330840	4	spotify:track:7B8W8kfQwcVubGo2EGosID	https://api.spotify.com/v1/audio-analysis/7B8W8kfQwcVubGo2EGosID
Encuentro Con El Diablo	4	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	3aDqAwZixHsOuBG14CGfMk	0.7	0.802	9	-6.211	1	0.0656	9.13e-4	0.0109	0.303	0.745	110.013	298013	4	spotify:track:3aDqAwZixHsOuBG14CGfMk	https://api.spotify.com/v1/audio-analysis/3aDqAwZixHsOuBG14CGfMk
El Amor Espera	5	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	0RgEJ60U2INudTJ3hAfPLl	0.348	0.949	2	-7.158	1	0.0915	0.013	1.29e-6	0.401	0.49	168.351	252773	4	spotify:track:0RgEJ60U2INudTJ3hAfPLl	https://api.spotify.com/v1/audio-analysis/0RgEJ60U2INudTJ3hAfPLl
Pelicula Sordomuda	6	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	2zqU4ENIr1SnqjMCBW9tZo	0.446	0.179	0	-21.208	1	0.0693	0.993	0.849	0.183	0.127	118.292	121893	4	spotify:track:2zqU4ENIr1SnqjMCBW9tZo	https://api.spotify.com/v1/audio-analysis/2zqU4ENIr1SnqjMCBW9tZo
Mi Nena	7	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	4QKp53r2regsmwEBrsgjoe	0.837	0.66	0	-7.783	1	0.0311	0.221	8.08e-5	0.239	0.964	99.58	169173	4	spotify:track:4QKp53r2regsmwEBrsgjoe	https://api.spotify.com/v1/audio-analysis/4QKp53r2regsmwEBrsgjoe
Tu Vicio (Gospel)	8	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	4SEpbwwljzAvjM5O39rX06	0.728	0.38	11	-12.192	1	0.123	0.755	0	0.499	0.736	116.231	63187	3	spotify:track:4SEpbwwljzAvjM5O39rX06	https://api.spotify.com/v1/audio-analysis/4SEpbwwljzAvjM5O39rX06
Demasiado Ego (One To One)	9	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	2PGVr2VZzDjIkwVX8piCGb	0.67	0.612	7	-6.988	1	0.0722	0.00959	0.00539	0.303	0.511	109.625	194587	4	spotify:track:2PGVr2VZzDjIkwVX8piCGb	https://api.spotify.com/v1/audio-analysis/2PGVr2VZzDjIkwVX8piCGb
Influenza	10	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	6C9f7KlcEcshGFYNgqjd0q	0.333	0.226	4	-13.199	0	0.0572	0.95	5.35e-4	0.102	0.243	74.05	213600	4	spotify:track:6C9f7KlcEcshGFYNgqjd0q	https://api.spotify.com/v1/audio-analysis/6C9f7KlcEcshGFYNgqjd0q
I'm Not In Love	11	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	0CErSx5FunVFY5OCzJjhQF	0.343	0.533	9	-10.197	1	0.1	0.847	0	0.513	0.199	171.13	111560	4	spotify:track:0CErSx5FunVFY5OCzJjhQF	https://api.spotify.com/v1/audio-analysis/0CErSx5FunVFY5OCzJjhQF
I'm Not In Love - Remix	12	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	3rZ1sQjqTVKMeZ2yUUBfKZ	0.587	0.895	9	-8.228	1	0.0581	0.00867	0.151	0.114	0.926	172.023	221640	4	spotify:track:3rZ1sQjqTVKMeZ2yUUBfKZ	https://api.spotify.com/v1/audio-analysis/3rZ1sQjqTVKMeZ2yUUBfKZ
Happy And Real	13	1	5Rgudh1IKSXYyKDVZuyyQu	Influencia	Charly García	0mWApa5VGlLnKZTaeFlYB3	0.459	0.131	0	-14.425	1	0.0369	0.952	7.54e-6	0.107	0.152	66.834	205213	4	spotify:track:0mWApa5VGlLnKZTaeFlYB3	https://api.spotify.com/v1/audio-analysis/0mWApa5VGlLnKZTaeFlYB3
