name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Overture	1	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	3g1Rqr09WM9sQ8Q2rqtNAl	0.413	0.35	7	-13.801	1	0.0295	0.47	0.372	0.25	0.0779	97.985	181493	4	spotify:track:3g1Rqr09WM9sQ8Q2rqtNAl	https://api.spotify.com/v1/audio-analysis/3g1Rqr09WM9sQ8Q2rqtNAl
Victima	2	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	2RonMv1WBqjjuwcfAOC9Sg	0.628	0.721	0	-8.276	1	0.0256	0.146	0.0735	0.201	0.493	97.915	301200	4	spotify:track:2RonMv1WBqjjuwcfAOC9Sg	https://api.spotify.com/v1/audio-analysis/2RonMv1WBqjjuwcfAOC9Sg
Jaco Y Chofi	3	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	2hulf8CvwVKcMJydMkCUcO	0.648	0.581	2	-10.827	1	0.0391	0.17	0.779	0.311	0.462	91.132	170933	4	spotify:track:2hulf8CvwVKcMJydMkCUcO	https://api.spotify.com/v1/audio-analysis/2hulf8CvwVKcMJydMkCUcO
Atlantis	4	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	2Q9VqurRNTkANxNumAs5aU	0.161	0.328	5	-14.605	1	0.0399	0.5	1.03e-4	0.21	0.0408	108.002	137333	4	spotify:track:2Q9VqurRNTkANxNumAs5aU	https://api.spotify.com/v1/audio-analysis/2Q9VqurRNTkANxNumAs5aU
La Sal No Sala	5	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	3WBhIsPj9gT77yEW3rH6ts	0.687	0.57	7	-7.361	1	0.0385	0.107	7.8e-4	0.169	0.631	127.893	218107	4	spotify:track:3WBhIsPj9gT77yEW3rH6ts	https://api.spotify.com/v1/audio-analysis/3WBhIsPj9gT77yEW3rH6ts
Chipi-Chipi	6	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	6pCZYiB2ZoLfDuapZbpKl8	0.694	0.466	7	-10.659	1	0.0441	0.132	5.94e-6	0.562	0.655	111.231	186467	4	spotify:track:6pCZYiB2ZoLfDuapZbpKl8	https://api.spotify.com/v1/audio-analysis/6pCZYiB2ZoLfDuapZbpKl8
Calle [Taxi]	7	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	1RUnGL5KkkO5krVJFtlbp4	0.772	0.643	7	-10.055	1	0.0376	0.297	0.901	0.115	0.881	122.617	146160	4	spotify:track:1RUnGL5KkkO5krVJFtlbp4	https://api.spotify.com/v1/audio-analysis/1RUnGL5KkkO5krVJFtlbp4
Love Is Love	8	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	13sPuyjvuaeuQOms1uSuR6	0.361	0.335	0	-12.992	1	0.0308	0.39	1.13e-4	0.118	0.23	177.935	193027	4	spotify:track:13sPuyjvuaeuQOms1uSuR6	https://api.spotify.com/v1/audio-analysis/13sPuyjvuaeuQOms1uSuR6
Tema De Amor	9	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	6GuvS3ylUQhQ6CuPN7QvsP	0.432	0.122	2	-16.313	0	0.0433	0.989	0.975	0.099	0.124	114.709	78667	3	spotify:track:6GuvS3ylUQhQ6CuPN7QvsP	https://api.spotify.com/v1/audio-analysis/6GuvS3ylUQhQ6CuPN7QvsP
Fax U	10	1	1ayedQfx32UihcgGBsb8oA	La Hija De La Lagrima	Charly García	3rRlgtX41WndRA1T1CgD3o	0.612	0.762	2	-9.437	1	0.0385	0.0651	0.0179	0.871	0.258	95.891	446600	4	spotify:track:3rRlgtX41WndRA1T1CgD3o	https://api.spotify.com/v1/audio-analysis/3rRlgtX41WndRA1T1CgD3o
