name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Variaciones sobre música del alma	1	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	1DsuAD8G1HMoHoRqDeZnYi	0.394	0.562	2	-11.169	1	0.0384	0.987	0.835	0.983	0.297	116.269	279009	4	spotify:track:1DsuAD8G1HMoHoRqDeZnYi	https://api.spotify.com/v1/audio-analysis/1DsuAD8G1HMoHoRqDeZnYi
Dos edificios dorados	2	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	27wnc3RMDGvb3EJQxdrdTe	0.278	0.908	2	-5.897	0	0.0629	0.214	0.112	0.327	0.568	86.044	324504	4	spotify:track:27wnc3RMDGvb3EJQxdrdTe	https://api.spotify.com/v1/audio-analysis/27wnc3RMDGvb3EJQxdrdTe
Hombres de mala sangre	3	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	7xhiG0isfwvUSKJls2XGbY	0.276	0.533	7	-9.231	1	0.0313	0.503	0.00191	0.282	0.233	96.772	243978	3	spotify:track:7xhiG0isfwvUSKJls2XGbY	https://api.spotify.com/v1/audio-analysis/7xhiG0isfwvUSKJls2XGbY
Sentado en el umbral de dios	4	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	3AjXmFOD2GzInjyyqrWpzI	0.376	0.329	0	-11.289	1	0.0297	0.813	3.82e-6	0.171	0.35	125.987	164061	4	spotify:track:3AjXmFOD2GzInjyyqrWpzI	https://api.spotify.com/v1/audio-analysis/3AjXmFOD2GzInjyyqrWpzI
El fantasma de Canterville	5	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	5ZHm3f5ADrkhXsZED0OsVH	0.579	0.85	2	-7.414	1	0.0602	0.39	0	0.598	0.638	106.188	274089	4	spotify:track:5ZHm3f5ADrkhXsZED0OsVH	https://api.spotify.com/v1/audio-analysis/5ZHm3f5ADrkhXsZED0OsVH
Las dulces promesas	6	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	7cUs8Ci6ukB66UAhkrya4y	0.467	0.196	7	-17.116	1	0.0371	0.909	0.05	0.118	0.499	120.994	183005	4	spotify:track:7cUs8Ci6ukB66UAhkrya4y	https://api.spotify.com/v1/audio-analysis/7cUs8Ci6ukB66UAhkrya4y
Iba acabándose el vino	7	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	6LERTgLpJceYVVGl0qpGLO	0.339	0.439	2	-8.872	1	0.0289	0.53	4.82e-5	0.229	0.392	173.71	230012	4	spotify:track:6LERTgLpJceYVVGl0qpGLO	https://api.spotify.com/v1/audio-analysis/6LERTgLpJceYVVGl0qpGLO
Tema de los devotos	8	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	66KH8ntL4t2Zzp3UESa98t	0.267	0.413	2	-10.302	1	0.0283	0.221	0.00138	0.338	0.243	75.917	490019	4	spotify:track:66KH8ntL4t2Zzp3UESa98t	https://api.spotify.com/v1/audio-analysis/66KH8ntL4t2Zzp3UESa98t
Boletos, pases y abonos	9	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	0eblu8gkL8hdjD9EJ3vwNp	0.472	0.928	2	-8.699	1	0.149	0.13	0.243	0.967	0.547	120.096	1073012	4	spotify:track:0eblu8gkL8hdjD9EJ3vwNp	https://api.spotify.com/v1/audio-analysis/0eblu8gkL8hdjD9EJ3vwNp
Gaby	10	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	2vL2wzSmv1RE3yr6psYRTU	0.447	0.323	5	-11.383	1	0.0349	0.912	0.00164	0.699	0.146	119.935	265995	4	spotify:track:2vL2wzSmv1RE3yr6psYRTU	https://api.spotify.com/v1/audio-analysis/2vL2wzSmv1RE3yr6psYRTU
Bienvenidos al tren	11	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	2TUr9yPQwS5wysGqX7J0z6	0.523	0.544	7	-8.434	1	0.0317	0.846	0.0013	0.987	0.537	123.13	203002	3	spotify:track:2TUr9yPQwS5wysGqX7J0z6	https://api.spotify.com/v1/audio-analysis/2TUr9yPQwS5wysGqX7J0z6
Studio jam	12	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	7FrQEpr94DjLGXmT4KfvTF	0.549	0.69	9	-8.674	0	0.0719	0.727	0.0199	0.311	0.633	118.204	446042	4	spotify:track:7FrQEpr94DjLGXmT4KfvTF	https://api.spotify.com/v1/audio-analysis/7FrQEpr94DjLGXmT4KfvTF
Música del alma	13	1	4SJTcC5XwzY40HbjwVj1wh	Música del Alma (En vivo)	Charly García	5E0CKbjBE3i2Q5ToZzSeMO	0.474	0.389	2	-9.89	1	0.0335	0.707	4.87e-5	0.0567	0.207	114.797	258998	4	spotify:track:5E0CKbjBE3i2Q5ToZzSeMO	https://api.spotify.com/v1/audio-analysis/5E0CKbjBE3i2Q5ToZzSeMO
