name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Necesito Tu Amor	1	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	4twICqafR4E6Aw9pesF292	0.604	0.802	2	-7.561	1	0.0344	0.0116	3.04e-4	0.0713	0.473	103.029	216187	4	spotify:track:4twICqafR4E6Aw9pesF292	https://api.spotify.com/v1/audio-analysis/4twICqafR4E6Aw9pesF292
Buscando un Símbolo de Paz	2	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	1pLQZ6MwbYaLqzJT3imTBU	0.687	0.926	5	-7.313	1	0.0548	0.0486	0.00174	0.162	0.58	115.753	282840	4	spotify:track:1pLQZ6MwbYaLqzJT3imTBU	https://api.spotify.com/v1/audio-analysis/1pLQZ6MwbYaLqzJT3imTBU
Parte de la Religión	3	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	10j7m614MuWqj6qgWKeaw7	0.559	0.414	0	-11.216	1	0.0249	0.526	0.0273	0.129	0.323	111.843	186600	4	spotify:track:10j7m614MuWqj6qgWKeaw7	https://api.spotify.com/v1/audio-analysis/10j7m614MuWqj6qgWKeaw7
Rap de las Hormigas	4	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	0bfp9z9BSYK487QRzS7HcB	0.663	0.896	8	-7.594	1	0.0482	0.446	0.252	0.0833	0.871	124.637	194573	4	spotify:track:0bfp9z9BSYK487QRzS7HcB	https://api.spotify.com/v1/audio-analysis/0bfp9z9BSYK487QRzS7HcB
Adela en el Carrousell	5	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	4Pz6d9chtIKUQ628KWDZpR	0.637	0.601	7	-9.175	0	0.0267	0.378	1.21e-4	0.416	0.631	97.693	315560	4	spotify:track:4Pz6d9chtIKUQ628KWDZpR	https://api.spotify.com/v1/audio-analysis/4Pz6d9chtIKUQ628KWDZpR
No Voy en Tren	6	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	0rliTXrA8nLBuJcxDuueWU	0.794	0.908	2	-7.132	1	0.0402	0.291	0.251	0.0236	0.965	123.597	181600	4	spotify:track:0rliTXrA8nLBuJcxDuueWU	https://api.spotify.com/v1/audio-analysis/0rliTXrA8nLBuJcxDuueWU
Rezo por Vos	7	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	6dOzqs6o4DNzXs4jF2v1Yq	0.568	0.858	2	-8.593	1	0.0506	0.115	3.5e-5	0.176	0.383	120.624	269053	4	spotify:track:6dOzqs6o4DNzXs4jF2v1Yq	https://api.spotify.com/v1/audio-analysis/6dOzqs6o4DNzXs4jF2v1Yq
El Karma de Vivir al Sur	8	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	1ODANxW34eP0TVS63phHAu	0.558	0.34	4	-12.036	0	0.0254	0.461	4.03e-6	0.0864	0.213	95.793	211693	4	spotify:track:1ODANxW34eP0TVS63phHAu	https://api.spotify.com/v1/audio-analysis/1ODANxW34eP0TVS63phHAu
Ella Adivinó	9	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	05kvl6YY3E2YyAGFZwkwdT	0.608	0.732	0	-8.104	1	0.0357	0.211	0.0144	0.0276	0.405	113.452	230560	4	spotify:track:05kvl6YY3E2YyAGFZwkwdT	https://api.spotify.com/v1/audio-analysis/05kvl6YY3E2YyAGFZwkwdT
La Ruta del Tentempié	10	1	4MrFVzdNEgxfZbJyC2RQt9	Parte De La Religion	Charly García	2SmMlziW8PCEkdIuxAhpw9	0.65	0.626	0	-7.231	1	0.03	0.295	0.0447	0.232	0.798	132.482	260013	4	spotify:track:2SmMlziW8PCEkdIuxAhpw9	https://api.spotify.com/v1/audio-analysis/2SmMlziW8PCEkdIuxAhpw9
