name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Demoliendo Hoteles	1	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	29iIRrSuANyjnwag69PHOJ	0.616	0.701	1	-8.467	1	0.0629	0.00321	0	0.39	0.411	78.983	135973	4	spotify:track:29iIRrSuANyjnwag69PHOJ	https://api.spotify.com/v1/audio-analysis/29iIRrSuANyjnwag69PHOJ
Promesas Sobre El Bidet	2	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	2MXqrO1RBfek6RoijghYYp	0.786	0.621	7	-9.805	0	0.0282	0.576	4.03e-4	0.123	0.54	111.459	164360	4	spotify:track:2MXqrO1RBfek6RoijghYYp	https://api.spotify.com/v1/audio-analysis/2MXqrO1RBfek6RoijghYYp
Raros Peinados Nuevos	3	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	7mnf5omGMUwSfpwZrt5AZ0	0.803	0.672	7	-9.285	0	0.035	0.174	0.00167	0.051	0.772	111.179	214760	4	spotify:track:7mnf5omGMUwSfpwZrt5AZ0	https://api.spotify.com/v1/audio-analysis/7mnf5omGMUwSfpwZrt5AZ0
Piano Bar	4	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	1sTDXvAhC6dJQUCJtmmahR	0.523	0.646	0	-9.281	1	0.0382	0.0552	0.0217	0.115	0.141	116.158	293693	4	spotify:track:1sTDXvAhC6dJQUCJtmmahR	https://api.spotify.com/v1/audio-analysis/1sTDXvAhC6dJQUCJtmmahR
No Te Animás A Despegar	5	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	5RlsSt263xeZXUx9e73z5p	0.512	0.464	7	-10.728	0	0.0359	0.018	0.044	0.0626	0.0387	64.889	244427	4	spotify:track:5RlsSt263xeZXUx9e73z5p	https://api.spotify.com/v1/audio-analysis/5RlsSt263xeZXUx9e73z5p
No Se Va A Llamar Mi Amor	6	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	5HWfFv6sEBnpfRgJYOSCPv	0.555	0.965	2	-7.573	1	0.0836	0.157	0	0.142	0.396	127.975	130320	4	spotify:track:5HWfFv6sEBnpfRgJYOSCPv	https://api.spotify.com/v1/audio-analysis/5HWfFv6sEBnpfRgJYOSCPv
Tuve Tu Amor	7	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	6caEkrittbfy0jsKjPT1bq	0.727	0.734	7	-9.329	1	0.0309	0.136	0.00107	0.265	0.504	116.425	210053	4	spotify:track:6caEkrittbfy0jsKjPT1bq	https://api.spotify.com/v1/audio-analysis/6caEkrittbfy0jsKjPT1bq
Rap Del Exilio	8	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	3weWxbl50a933TorZ3wx9r	0.594	0.789	2	-8.189	1	0.129	0.378	3.41e-4	0.068	0.614	116.77	129280	4	spotify:track:3weWxbl50a933TorZ3wx9r	https://api.spotify.com/v1/audio-analysis/3weWxbl50a933TorZ3wx9r
Cerca De La Revolucion	9	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	66grIvFLGrI4tNhggO2DAd	0.687	0.923	2	-7.592	1	0.0549	0.22	3.08e-6	0.3	0.71	112.51	280547	4	spotify:track:66grIvFLGrI4tNhggO2DAd	https://api.spotify.com/v1/audio-analysis/66grIvFLGrI4tNhggO2DAd
Total Interferencia	10	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	5InJsNKDCwm7Oi0Xujkhvs	0.457	0.442	7	-10.05	0	0.0308	0.521	0.0417	0.153	0.116	75.888	297987	4	spotify:track:5InJsNKDCwm7Oi0Xujkhvs	https://api.spotify.com/v1/audio-analysis/5InJsNKDCwm7Oi0Xujkhvs
Cancion Para Mi Muerte - Bonus Track	11	1	17utekM9a95MchXbkbh47k	Piano Bar	Charly García	6JCgP3lmyFmpYKTTripIq6	0.453	0.522	0	-7.178	1	0.034	0.258	0	0.375	0.242	107.018	244600	4	spotify:track:6JCgP3lmyFmpYKTTripIq6	https://api.spotify.com/v1/audio-analysis/6JCgP3lmyFmpYKTTripIq6
