name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
La Máquina de Ser Feliz	1	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	52qq2T7uXlpI7Kfb4otWNk	0.587	0.64	9	-7.474	1	0.0299	0.539	9.21e-4	0.357	0.233	110.006	280493	4	spotify:track:52qq2T7uXlpI7Kfb4otWNk	https://api.spotify.com/v1/audio-analysis/52qq2T7uXlpI7Kfb4otWNk
Ella Es Tan Kubrick	2	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	2074PxLJhsulJcP0ivfUSj	0.765	0.924	9	-5.579	1	0.0313	0.121	0	0.315	0.918	121.985	181413	4	spotify:track:2074PxLJhsulJcP0ivfUSj	https://api.spotify.com/v1/audio-analysis/2074PxLJhsulJcP0ivfUSj
Primavera	3	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	0VSzEeOuXTAI3kbG4TXBth	0.751	0.681	4	-6.559	0	0.026	0.149	4.65e-5	0.34	0.811	109.99	275040	4	spotify:track:0VSzEeOuXTAI3kbG4TXBth	https://api.spotify.com/v1/audio-analysis/0VSzEeOuXTAI3kbG4TXBth
Rivalidad	4	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	6vuWyGYpQfhBC1WFW1fkOR	0.666	0.825	10	-6.127	1	0.0383	0.067	0	0.187	0.636	109.986	184587	4	spotify:track:6vuWyGYpQfhBC1WFW1fkOR	https://api.spotify.com/v1/audio-analysis/6vuWyGYpQfhBC1WFW1fkOR
Otro	5	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	7eFJEG6vPVRfvEB8QqKuKx	0.688	0.519	7	-6.626	0	0.0367	0.476	4.41e-4	0.0992	0.6	77.496	131267	4	spotify:track:7eFJEG6vPVRfvEB8QqKuKx	https://api.spotify.com/v1/audio-analysis/7eFJEG6vPVRfvEB8QqKuKx
Lluvia	6	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	2n2PrSqZeDQB19NSgO01YP	0.688	0.71	2	-7.124	1	0.0245	0.15	0	0.357	0.66	110.005	226147	4	spotify:track:2n2PrSqZeDQB19NSgO01YP	https://api.spotify.com/v1/audio-analysis/2n2PrSqZeDQB19NSgO01YP
Believe	7	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	0zTGCdMONzCEzG6Sqx4lgt	0.597	0.915	9	-4.866	1	0.0302	3.43e-4	2.1e-5	0.105	0.627	135.011	125933	4	spotify:track:0zTGCdMONzCEzG6Sqx4lgt	https://api.spotify.com/v1/audio-analysis/0zTGCdMONzCEzG6Sqx4lgt
Amigos de Dios	8	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	5ilKoWnPiMGkhRKhY0Z6fV	0.637	0.904	7	-5.215	0	0.0344	0.0401	5.34e-6	0.29	0.554	106.985	225987	4	spotify:track:5ilKoWnPiMGkhRKhY0Z6fV	https://api.spotify.com/v1/audio-analysis/5ilKoWnPiMGkhRKhY0Z6fV
Spector	9	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	62oTd25XqwmcLDTnmvxNUF	0.616	0.682	4	-6.172	1	0.0323	0.226	8.34e-6	0.214	0.715	128.095	199173	4	spotify:track:62oTd25XqwmcLDTnmvxNUF	https://api.spotify.com/v1/audio-analysis/62oTd25XqwmcLDTnmvxNUF
Mundo B	10	1	3AFgH2pplBRflUp6D1d1eQ	Random	Charly García	5uTio0a7NcuYPPWIHnueNU	0.553	0.59	2	-6.836	1	0.0272	0.254	3.86e-6	0.353	0.214	124.012	210360	4	spotify:track:5uTio0a7NcuYPPWIHnueNU	https://api.spotify.com/v1/audio-analysis/5uTio0a7NcuYPPWIHnueNU
