name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Dileando Con Un Alma	1	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	0L1GjWscoDex0hNJDalJ4A	0.649	0.893	0	-7.763	1	0.0952	0.0272	1.25e-5	0.755	0.572	120.005	250172	4	spotify:track:0L1GjWscoDex0hNJDalJ4A	https://api.spotify.com/v1/audio-analysis/0L1GjWscoDex0hNJDalJ4A
Rehén	2	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	4PXlH3TuDJQN3IUjo5tRAi	0.559	0.976	2	-5.252	1	0.0649	0.0353	0.00625	0.365	0.327	120.089	234120	4	spotify:track:4PXlH3TuDJQN3IUjo5tRAi	https://api.spotify.com/v1/audio-analysis/4PXlH3TuDJQN3IUjo5tRAi
Asesíname	3	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	2NtS0rZ8MdnsJbLNRME6pg	0.491	0.674	2	-7.691	1	0.0265	0.0264	0.0312	0.451	0.342	93.085	223173	4	spotify:track:2NtS0rZ8MdnsJbLNRME6pg	https://api.spotify.com/v1/audio-analysis/2NtS0rZ8MdnsJbLNRME6pg
Linda Bailarina	4	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	1RylS56S09lV59yV7lFDhT	0.511	0.702	7	-6.186	1	0.0282	0.334	0.135	0.508	0.511	105.086	182091	4	spotify:track:1RylS56S09lV59yV7lFDhT	https://api.spotify.com/v1/audio-analysis/1RylS56S09lV59yV7lFDhT
Asesíname Stone	5	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	3H1d5PICHxlKUx32gIocKx	0.675	0.543	11	-6.607	0	0.0399	0.0378	8.97e-6	0.741	0.798	93.058	221107	4	spotify:track:3H1d5PICHxlKUx32gIocKx	https://api.spotify.com/v1/audio-analysis/3H1d5PICHxlKUx32gIocKx
V.S.D.	6	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	6BHd6HfvrGqmMeol0U5TGz	0.471	0.927	4	-6.128	0	0.092	0.00264	4.58e-6	0.371	0.748	141.688	205280	4	spotify:track:6BHd6HfvrGqmMeol0U5TGz	https://api.spotify.com/v1/audio-analysis/6BHd6HfvrGqmMeol0U5TGz
Tango	7	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	0vT22R3ZmZ4iH4HL0OxcXn	0.471	0.407	7	-9.334	0	0.0334	0.867	0.00287	0.155	0.446	128.78	162973	4	spotify:track:0vT22R3ZmZ4iH4HL0OxcXn	https://api.spotify.com/v1/audio-analysis/0vT22R3ZmZ4iH4HL0OxcXn
Cretino	8	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	2cTfMqp7L1a5eHiw2LLGQZ	0.481	0.572	0	-6.278	0	0.0293	0.601	4.8e-5	0.466	0.397	93.979	300466	4	spotify:track:2cTfMqp7L1a5eHiw2LLGQZ	https://api.spotify.com/v1/audio-analysis/2cTfMqp7L1a5eHiw2LLGQZ
Rock And Roll Yo	9	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	1xzZlhlVvZw3yTsYzCPh8p	0.324	0.95	4	-3.764	1	0.0625	0.00121	2.79e-4	0.838	0.46	112.696	271080	4	spotify:track:1xzZlhlVvZw3yTsYzCPh8p	https://api.spotify.com/v1/audio-analysis/1xzZlhlVvZw3yTsYzCPh8p
Wonder (Love's In Need Of Love Today)	10	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	076JYdl5qNn0Mz4bChoFwL	0.573	0.723	0	-5.119	1	0.0381	0.0114	0.00146	0.239	0.745	97.915	218227	4	spotify:track:076JYdl5qNn0Mz4bChoFwL	https://api.spotify.com/v1/audio-analysis/076JYdl5qNn0Mz4bChoFwL
Dealer	11	1	3qPPzWHpuvFT0xHMyDrvS4	Rock And Roll Yo	Charly García	3dLmWDHpYENbPmkPhWegoG	0.651	0.567	7	-15.236	1	0.0429	5.03e-4	0.0914	0.156	0.539	119.98	52680	4	spotify:track:3dLmWDHpYENbPmkPhWegoG	https://api.spotify.com/v1/audio-analysis/3dLmWDHpYENbPmkPhWegoG
