name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Estaba En Llamas Cuando Me Acoste	1	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	5VZSFn5vHjvNVE23esAtCi	0.443	0.631	9	-10.43	0	0.0448	0.325	1.89e-5	0.186	0.242	105.4	423200	4	spotify:track:5VZSFn5vHjvNVE23esAtCi	https://api.spotify.com/v1/audio-analysis/5VZSFn5vHjvNVE23esAtCi
Vemos...	2	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	1iBA37ONrbZmsh0aNd1A2a	0.141	0.104	3	-22.233	1	0.0397	0.936	0.968	0.118	0.0824	71.499	33893	4	spotify:track:1iBA37ONrbZmsh0aNd1A2a	https://api.spotify.com/v1/audio-analysis/1iBA37ONrbZmsh0aNd1A2a
Canciones De Jirafas	3	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	56gla8LM06Jnv18yjE4svH	0.452	0.646	2	-13.692	1	0.0777	0.304	3.67e-5	0.0744	0.55	152.761	168573	4	spotify:track:56gla8LM06Jnv18yjE4svH	https://api.spotify.com/v1/audio-analysis/56gla8LM06Jnv18yjE4svH
Necesito Un Gol	4	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	5RO9EgcHboILptcfa3moLy	0.624	0.803	5	-10.693	1	0.114	0.202	3.23e-6	0.345	0.791	129.148	315560	4	spotify:track:5RO9EgcHboILptcfa3moLy	https://api.spotify.com/v1/audio-analysis/5RO9EgcHboILptcfa3moLy
Alguien en el Mundo Piensa en Mí	5	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	1tJrhGnbZSNJH2bDqnG1HO	0.325	0.714	7	-9.258	1	0.0475	0.169	6.23e-6	0.459	0.416	74.863	267240	4	spotify:track:1tJrhGnbZSNJH2bDqnG1HO	https://api.spotify.com/v1/audio-analysis/1tJrhGnbZSNJH2bDqnG1HO
Constant Concept	6	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	7cHlZCOdK0itGwqlu9Bkr3	0.166	0.224	7	-16.508	1	0.0329	0.76	0.522	0.23	0.0439	128.959	277000	4	spotify:track:7cHlZCOdK0itGwqlu9Bkr3	https://api.spotify.com/v1/audio-analysis/7cHlZCOdK0itGwqlu9Bkr3
Say No More	7	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	0lZJwpTYUtFHabZieXvPAB	0.1	0.305	2	-12.3	0	0.0338	0.242	0.0206	0.37	0.0851	83.527	276467	4	spotify:track:0lZJwpTYUtFHabZieXvPAB	https://api.spotify.com/v1/audio-analysis/0lZJwpTYUtFHabZieXvPAB
Cuchillos	8	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	2V8AOpOIVv4R8GOvPvdn9I	0.621	0.302	2	-19.103	1	0.0495	0.123	0.434	0.229	0.344	82.64	269067	4	spotify:track:2V8AOpOIVv4R8GOvPvdn9I	https://api.spotify.com/v1/audio-analysis/2V8AOpOIVv4R8GOvPvdn9I
A1	9	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	7fFBBfBcKQKp8KBqCX4BqP	0.408	0.248	9	-17.134	0	0.0405	0.897	0.986	0.0705	0.356	119.08	102760	4	spotify:track:7fFBBfBcKQKp8KBqCX4BqP	https://api.spotify.com/v1/audio-analysis/7fFBBfBcKQKp8KBqCX4BqP
Plan 9	10	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	3zEMRPfhTW0uEpaYa42Zu3	0.617	0.887	5	-11.672	1	0.0502	0.0113	0.414	0.118	0.53	97.984	301307	4	spotify:track:3zEMRPfhTW0uEpaYa42Zu3	https://api.spotify.com/v1/audio-analysis/3zEMRPfhTW0uEpaYa42Zu3
Casa Vacia	11	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	65kAO33bQBcuQpdZlpEzVj	0.371	0.698	2	-10.705	1	0.0371	0.241	0.0839	0.157	0.303	147.639	313600	4	spotify:track:65kAO33bQBcuQpdZlpEzVj	https://api.spotify.com/v1/audio-analysis/65kAO33bQBcuQpdZlpEzVj
Podrias Entender	12	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	6B7wLmOZDYrbVWBl0hgGvp	0.543	0.492	7	-13.753	1	0.0382	0.163	2.32e-4	0.499	0.436	105.74	369467	4	spotify:track:6B7wLmOZDYrbVWBl0hgGvp	https://api.spotify.com/v1/audio-analysis/6B7wLmOZDYrbVWBl0hgGvp
Intuicion	13	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	35SANU4PEh95utoTkYOnvj	0.223	0.165	5	-21.8	1	0.0384	0.522	0.00365	0.098	0.0906	105.811	100400	4	spotify:track:35SANU4PEh95utoTkYOnvj	https://api.spotify.com/v1/audio-analysis/35SANU4PEh95utoTkYOnvj
La Vanguardia Es Asi	14	1	3olJNVcMCH3ZXoDxiCMRnP	Say No More	Charly García	4ogiPcwvJXmt2y3Q8ExRYw	0.353	0.348	7	-19.976	1	0.0448	0.906	0.674	0.0733	0.541	122.258	119067	4	spotify:track:4ogiPcwvJXmt2y3Q8ExRYw	https://api.spotify.com/v1/audio-analysis/4ogiPcwvJXmt2y3Q8ExRYw
