name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Tu Amor	1	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	3obYcaXHdTB1EvZE3PVQhd	0.648	0.535	9	-12.239	1	0.314	0.286	0	0.073	0.589	176.114	186467	4	spotify:track:3obYcaXHdTB1EvZE3PVQhd	https://api.spotify.com/v1/audio-analysis/3obYcaXHdTB1EvZE3PVQhd
Mientes	2	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	670dXRMKr9vVtGk01dYeSr	0.697	0.607	7	-10.245	1	0.0291	0.103	0	0.0585	0.941	123.062	254667	4	spotify:track:670dXRMKr9vVtGk01dYeSr	https://api.spotify.com/v1/audio-analysis/670dXRMKr9vVtGk01dYeSr
Vampiro	3	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	6DVdsmiWG46btffaXgJH3i	0.61	0.433	2	-13.722	1	0.0285	0.14	3.07e-4	0.107	0.158	105.118	343893	4	spotify:track:6DVdsmiWG46btffaXgJH3i	https://api.spotify.com/v1/audio-analysis/6DVdsmiWG46btffaXgJH3i
Rompan Todo	4	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	7571CUGTEd1jKijAYxXRxB	0.662	0.864	0	-9.919	1	0.0609	0.0294	0.00144	0.18	0.916	147.057	237080	4	spotify:track:7571CUGTEd1jKijAYxXRxB	https://api.spotify.com/v1/audio-analysis/7571CUGTEd1jKijAYxXRxB
Mala Señal	5	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	5T3DWynjdMCXIqLiGlglcX	0.329	0.0736	4	-19.33	1	0.04	0.895	0.00101	0.26	0.0632	70.946	199707	4	spotify:track:5T3DWynjdMCXIqLiGlglcX	https://api.spotify.com/v1/audio-analysis/5T3DWynjdMCXIqLiGlglcX
30 Denarios	6	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	0CRqcfgpqgAgjB3x1hCn9R	0.707	0.555	7	-11.71	1	0.0332	0.196	5.11e-6	0.0587	0.467	118.086	332400	4	spotify:track:0CRqcfgpqgAgjB3x1hCn9R	https://api.spotify.com/v1/audio-analysis/0CRqcfgpqgAgjB3x1hCn9R
Solo Dios Sabe	7	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	7t1UcyWgueqTNdP1hTkUdG	0.526	0.151	9	-16.611	1	0.0355	0.884	5.93e-5	0.11	0.195	104.963	198707	4	spotify:track:7t1UcyWgueqTNdP1hTkUdG	https://api.spotify.com/v1/audio-analysis/7t1UcyWgueqTNdP1hTkUdG
Cucamonga Dance	8	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	3Gv7XS86FVoMBuz4bmu5xM	0.809	0.551	0	-10.003	1	0.0466	0.105	1.29e-6	0.219	0.885	116.066	180013	4	spotify:track:3Gv7XS86FVoMBuz4bmu5xM	https://api.spotify.com/v1/audio-analysis/3Gv7XS86FVoMBuz4bmu5xM
Diana	9	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	5othe76xiT336Vki5ZhKvt	0.646	0.651	9	-9.617	1	0.0321	0.178	7.23e-4	0.265	0.672	127.057	240867	4	spotify:track:5othe76xiT336Vki5ZhKvt	https://api.spotify.com/v1/audio-analysis/5othe76xiT336Vki5ZhKvt
Happy and Real	10	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	4FIhSdvNUuVxWX8oAOSdNp	0.278	0.117	7	-20.868	1	0.0313	0.482	2.4e-4	0.184	0.0718	143.429	240907	5	spotify:track:4FIhSdvNUuVxWX8oAOSdNp	https://api.spotify.com/v1/audio-analysis/4FIhSdvNUuVxWX8oAOSdNp
Vampiro (Instrumental)	11	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	46X63Uu1q6idswdGW2bxOa	0.616	0.352	2	-14.155	1	0.026	0.0325	0.883	0.116	0.126	105.106	343533	4	spotify:track:46X63Uu1q6idswdGW2bxOa	https://api.spotify.com/v1/audio-analysis/46X63Uu1q6idswdGW2bxOa
Diana (Instrumental)	12	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	3IStLOtDZrLErILhlPz4H0	0.666	0.656	9	-9.328	1	0.0321	0.00641	0.861	0.32	0.628	127.074	242720	4	spotify:track:3IStLOtDZrLErILhlPz4H0	https://api.spotify.com/v1/audio-analysis/3IStLOtDZrLErILhlPz4H0
Solo Dios Sabe (Instrumental)	13	1	0JTWqpFlJobaZW5V0Y0R5T	Tango 4	Charly García	3SUHB9rWZ8uR9abQah0sEU	0.727	0.138	9	-18.544	1	0.0344	0.918	0.945	0.109	0.105	105.052	194307	4	spotify:track:3SUHB9rWZ8uR9abQah0sEU	https://api.spotify.com/v1/audio-analysis/3SUHB9rWZ8uR9abQah0sEU
