name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Yendo De La Cama Al Living - Live	1	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	4Nt3vrLiH52r5dvVCrLPCe	0.725	0.402	5	-11.18	1	0.165	0.667	0.019	0.819	0.763	77.051	262493	4	spotify:track:4Nt3vrLiH52r5dvVCrLPCe	https://api.spotify.com/v1/audio-analysis/4Nt3vrLiH52r5dvVCrLPCe
Rezo Por Vos - Live	2	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	09owTrI1VnYKs5i1CCMnE2	0.535	0.585	7	-8.09	1	0.0304	0.372	3.17e-4	0.966	0.493	120.225	288200	4	spotify:track:09owTrI1VnYKs5i1CCMnE2	https://api.spotify.com/v1/audio-analysis/09owTrI1VnYKs5i1CCMnE2
Fanky - Live	3	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	15qhC4nfcfD0XiyrYDf9dr	0.711	0.698	0	-10.183	1	0.0998	0.233	0.00677	0.964	0.828	117.061	267867	4	spotify:track:15qhC4nfcfD0XiyrYDf9dr	https://api.spotify.com/v1/audio-analysis/15qhC4nfcfD0XiyrYDf9dr
Pasajera En Trance - Live	4	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	5zTirec9tIsSVNgBSUmFxU	0.591	0.614	0	-10.492	1	0.041	0.527	0.0175	0.979	0.601	99.28	203973	4	spotify:track:5zTirec9tIsSVNgBSUmFxU	https://api.spotify.com/v1/audio-analysis/5zTirec9tIsSVNgBSUmFxU
Serú Giran Medley - Live	5	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	1lrmmpIgUeluYHmPN5lhxr	0.402	0.312	0	-14.018	1	0.042	0.842	0.00136	0.823	0.13	97.925	416133	4	spotify:track:1lrmmpIgUeluYHmPN5lhxr	https://api.spotify.com/v1/audio-analysis/1lrmmpIgUeluYHmPN5lhxr
Cerca De La Revolucion - Live	6	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	6JhSLKkmSeLNNsIZkOxUaq	0.843	0.575	5	-10.057	1	0.0649	0.466	0.00174	0.889	0.865	110.374	306627	4	spotify:track:6JhSLKkmSeLNNsIZkOxUaq	https://api.spotify.com/v1/audio-analysis/6JhSLKkmSeLNNsIZkOxUaq
Promesas Sobre El Bidet - Live	7	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	18q9HXSEKJ7w1nTAST38jB	0.694	0.629	2	-10.075	0	0.104	0.665	0.00518	0.759	0.652	106.215	186773	4	spotify:track:18q9HXSEKJ7w1nTAST38jB	https://api.spotify.com/v1/audio-analysis/18q9HXSEKJ7w1nTAST38jB
No Soy Un Extraño - Live	8	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	6KxhnLR6OlcieIudHZqL2V	0.365	0.402	9	-13.435	0	0.112	0.668	0.00635	0.0915	0.465	204.85	262533	4	spotify:track:6KxhnLR6OlcieIudHZqL2V	https://api.spotify.com/v1/audio-analysis/6KxhnLR6OlcieIudHZqL2V
Los Dinosaurios - Live	9	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	0BWhmRyHvBLMcEJDAos2PD	0.42	0.52	5	-13.33	1	0.126	0.903	0.0046	0.539	0.286	85.299	220533	4	spotify:track:0BWhmRyHvBLMcEJDAos2PD	https://api.spotify.com/v1/audio-analysis/0BWhmRyHvBLMcEJDAos2PD
Chipi Chipi - Live	10	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	5JLbX9Z0JwzwOuF5EkhWPY	0.568	0.578	7	-10.586	1	0.0822	0.468	1.18e-4	0.87	0.726	111.577	223200	4	spotify:track:5JLbX9Z0JwzwOuF5EkhWPY	https://api.spotify.com/v1/audio-analysis/5JLbX9Z0JwzwOuF5EkhWPY
La Sal No Sala - Live	11	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	2DGsn73GOkBsdRugZvsOj0	0.765	0.567	0	-11.338	1	0.101	0.303	0.00805	0.955	0.713	127.663	284827	4	spotify:track:2DGsn73GOkBsdRugZvsOj0	https://api.spotify.com/v1/audio-analysis/2DGsn73GOkBsdRugZvsOj0
Nos Siguen Pegando Abajo (Pecado Mortal) - Live	12	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	2MF6BJDR102bnwMIpsWhOj	0.6	0.771	2	-8.182	1	0.0557	0.326	0.00367	0.914	0.868	152.704	201907	4	spotify:track:2MF6BJDR102bnwMIpsWhOj	https://api.spotify.com/v1/audio-analysis/2MF6BJDR102bnwMIpsWhOj
Ojos De Video Tape - Live	13	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	7C5eNI6TuNnptPbO1PWLxv	0.423	0.395	5	-12.348	1	0.0378	0.89	0.00352	0.983	0.262	98.704	246267	4	spotify:track:7C5eNI6TuNnptPbO1PWLxv	https://api.spotify.com/v1/audio-analysis/7C5eNI6TuNnptPbO1PWLxv
Demoliendo Hoteles - Live	14	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	15dNGPxvzuCvTBzFGmveZi	0.593	0.794	5	-9.016	1	0.258	0.49	0.00705	0.957	0.556	158.608	329893	4	spotify:track:15dNGPxvzuCvTBzFGmveZi	https://api.spotify.com/v1/audio-analysis/15dNGPxvzuCvTBzFGmveZi
Fifteen Forever - Live	15	1	7vuvoAP3WxyXIvH64LDn1R	Unplugged	Charly García	6iE8FqUHqjbBYm054XcMDY	0.402	0.445	7	-13.459	1	0.0437	0.776	0.389	0.719	0.329	108.032	173000	4	spotify:track:6iE8FqUHqjbBYm054XcMDY	https://api.spotify.com/v1/audio-analysis/6iE8FqUHqjbBYm054XcMDY
