name	track_number	disc_number	album_id	album_name	album_artist	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	uri	analysis_url
Operación Densa	1	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	0LQGGfdXLCgDSRzEWiDTwW	0.264	0.129	9	-22.407	0	0.0596	0.986	0.887	0.156	0.103	91.96	126947	4	spotify:track:0LQGGfdXLCgDSRzEWiDTwW	https://api.spotify.com/v1/audio-analysis/0LQGGfdXLCgDSRzEWiDTwW
Despertar De Mambo	2	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	6kffF1O6XUOIhAFD1rtvkj	0.268	0.171	7	-16.043	1	0.0339	0.0278	0.0241	0.0591	0.0933	106.142	154307	4	spotify:track:6kffF1O6XUOIhAFD1rtvkj	https://api.spotify.com/v1/audio-analysis/6kffF1O6XUOIhAFD1rtvkj
Rejas Electrificadas	3	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	4mX8DggLc8Ksmp9srWPERg	0.659	0.0329	0	-18.416	1	0.0319	0.924	0.317	0.301	0.54	131.023	61680	4	spotify:track:4mX8DggLc8Ksmp9srWPERg	https://api.spotify.com/v1/audio-analysis/4mX8DggLc8Ksmp9srWPERg
Pubis Angelical	4	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	5VCoXlVT7w3Am5WHnPik1Q	0.644	0.135	10	-13.973	1	0.0326	0.498	0.673	0.119	0.0629	113.479	149427	4	spotify:track:5VCoXlVT7w3Am5WHnPik1Q	https://api.spotify.com/v1/audio-analysis/5VCoXlVT7w3Am5WHnPik1Q
Monóculo Fantástico	5	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	7tLqwPzWbxVKwOvpNN6f2V	0.36	0.267	0	-15.323	1	0.0338	0.969	0.925	0.117	0.142	97.386	122907	1	spotify:track:7tLqwPzWbxVKwOvpNN6f2V	https://api.spotify.com/v1/audio-analysis/7tLqwPzWbxVKwOvpNN6f2V
All I Do The Whole Night Through	6	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	7JeuQlRp4hs9RWysDKbS4b	0.698	0.102	6	-19.635	0	0.0525	0.92	4.54e-4	0.0966	0.526	116.499	108360	4	spotify:track:7JeuQlRp4hs9RWysDKbS4b	https://api.spotify.com/v1/audio-analysis/7JeuQlRp4hs9RWysDKbS4b
Sereno Fantástico	7	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	2NWXY5RsBtIPouRdlBXju3	0.299	0.0631	8	-15.903	1	0.0382	0.946	0.936	0.162	0.0378	133.026	185547	4	spotify:track:2NWXY5RsBtIPouRdlBXju3	https://api.spotify.com/v1/audio-analysis/2NWXY5RsBtIPouRdlBXju3
Transatlántico Art Deco	8	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	0sYl26HMLKOxFy3tlvHcVB	0.41	0.119	2	-16.016	0	0.035	0.74	0.239	0.0802	0.327	91.885	210067	4	spotify:track:0sYl26HMLKOxFy3tlvHcVB	https://api.spotify.com/v1/audio-analysis/0sYl26HMLKOxFy3tlvHcVB
Caspa De Estrellas	9	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	1wfzoBxslrQ70QT48aggxK	0.829	0.307	7	-11.582	1	0.039	0.56	0.518	0.796	0.429	113.727	196613	4	spotify:track:1wfzoBxslrQ70QT48aggxK	https://api.spotify.com/v1/audio-analysis/1wfzoBxslrQ70QT48aggxK
Crimen, Divina, Productor	10	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	3sC3zkOUZj82KCxX6hvwPS	0.336	0.384	0	-16.449	1	0.0665	0.988	0.81	0.186	0.283	111.884	176960	4	spotify:track:3sC3zkOUZj82KCxX6hvwPS	https://api.spotify.com/v1/audio-analysis/3sC3zkOUZj82KCxX6hvwPS
Pubis Angelical	11	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	20nu90WcCA3wUIEob3sDu3	0.354	0.0803	7	-21.592	1	0.0425	0.96	0.0963	0.119	0.0502	115.15	55200	5	spotify:track:20nu90WcCA3wUIEob3sDu3	https://api.spotify.com/v1/audio-analysis/20nu90WcCA3wUIEob3sDu3
Pubis Angelical	12	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	6QcDQId02hVAtd24T7c24L	0.439	0.341	9	-8.209	0	0.0425	0.833	0.0251	0.106	0.0807	113.925	61373	4	spotify:track:6QcDQId02hVAtd24T7c24L	https://api.spotify.com/v1/audio-analysis/6QcDQId02hVAtd24T7c24L
Futuro Pobre	13	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	5dmP09b2sSdBXJXn3w9ytZ	0.21	0.107	4	-14.581	0	0.0353	0.881	0.676	0.067	0.0609	179.999	209973	4	spotify:track:5dmP09b2sSdBXJXn3w9ytZ	https://api.spotify.com/v1/audio-analysis/5dmP09b2sSdBXJXn3w9ytZ
Tribunas Del Futuro Pobre	14	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	5JmS74bCxjiRSDHlnPsafr	0.281	0.248	9	-14.216	0	0.0381	0.426	0.614	0.101	0.084	89.38	193947	4	spotify:track:5JmS74bCxjiRSDHlnPsafr	https://api.spotify.com/v1/audio-analysis/5JmS74bCxjiRSDHlnPsafr
Todos Los Pubis Juntos	15	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	3HBYPaUeNpGm9OLg5vszjF	0.475	0.219	9	-14.446	0	0.0319	0.353	0.798	0.0883	0.0883	114.068	150360	4	spotify:track:3HBYPaUeNpGm9OLg5vszjF	https://api.spotify.com/v1/audio-analysis/3HBYPaUeNpGm9OLg5vszjF
Yendo De La Cama Al Living	16	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	13tz2i3p3x2dMK9906nVFk	0.718	0.39	5	-10.679	0	0.12	0.283	0.0013	0.153	0.633	80.136	285213	4	spotify:track:13tz2i3p3x2dMK9906nVFk	https://api.spotify.com/v1/audio-analysis/13tz2i3p3x2dMK9906nVFk
Superhéroes	17	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	6TgWP4HXj9wZyJF3yoghRj	0.601	0.562	0	-13.324	1	0.077	0.228	2.61e-4	0.109	0.413	79.817	267653	4	spotify:track:6TgWP4HXj9wZyJF3yoghRj	https://api.spotify.com/v1/audio-analysis/6TgWP4HXj9wZyJF3yoghRj
No Bombardeen Buenos Aires	18	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	3aMKVw1oXkAdeAVXO2TucF	0.757	0.662	7	-10.468	1	0.0967	0.0643	0.014	0.293	0.851	99.792	243680	4	spotify:track:3aMKVw1oXkAdeAVXO2TucF	https://api.spotify.com/v1/audio-analysis/3aMKVw1oXkAdeAVXO2TucF
Vos También Estabas Verde	19	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	6OUIAFip7rThyhhxLbx72v	0.497	0.231	7	-12.463	1	0.0472	0.74	3.49e-6	0.115	0.194	111.973	188507	4	spotify:track:6OUIAFip7rThyhhxLbx72v	https://api.spotify.com/v1/audio-analysis/6OUIAFip7rThyhhxLbx72v
Yo No Quiero Volverme Tan Loco	20	1	1oZU9a9rdlLV2AB0OCocTZ	Yendo De La Cama Al Living	Charly García	68LeIVjVDRMXPlfdFHhID6	0.735	0.645	2	-11.113	1	0.127	0.3	0	0.123	0.604	118.725	310707	4	spotify:track:68LeIVjVDRMXPlfdFHhID6	https://api.spotify.com/v1/audio-analysis/68LeIVjVDRMXPlfdFHhID6
