name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
Canción para Mi Muerte,1,1hNb84RaofemsO09nWOObn,Obras Cumbres,7k0q1k52nXzGy9xQgSDaGR,0.457,0.278,0,-18.051,1,0.0339,0.648,3.88e-6,0.101,0.483,130.832,215907,4,spotify:track:7k0q1k52nXzGy9xQgSDaGR,https://api.spotify.com/v1/audio-analysis/7k0q1k52nXzGy9xQgSDaGR
Rasguña las Piedras,2,NA,NA,3RsUrQBuIWRi00MBCniKU8,0.279,0.346,7,-12.609,1,0.0444,0.239,0,0.0798,0.309,162.506,191227,4,spotify:track:3RsUrQBuIWRi00MBCniKU8,https://api.spotify.com/v1/audio-analysis/3RsUrQBuIWRi00MBCniKU8
"Quizás, Porque",3,NA,NA,25ddfpiP4IptZTRHVXcTsl,0.394,0.019,2,-27.167,1,0.0501,0.937,4.27e-4,0.125,0.212,77.722,132973,4,spotify:track:25ddfpiP4IptZTRHVXcTsl,https://api.spotify.com/v1/audio-analysis/25ddfpiP4IptZTRHVXcTsl
Necesito,4,NA,NA,4ZTGoI4457pYqBpnv6Q1KH,0.641,0.169,7,-18.195,1,0.0462,0.457,0,0.124,0.198,101.864,133960,4,spotify:track:4ZTGoI4457pYqBpnv6Q1KH,https://api.spotify.com/v1/audio-analysis/4ZTGoI4457pYqBpnv6Q1KH
Confesiones de Invierno,5,NA,NA,5RmLAGgmyK4eEAcitgMwED,0.477,0.148,2,-15.794,1,0.0312,0.791,0,0.0602,0.263,97.825,245333,4,spotify:track:5RmLAGgmyK4eEAcitgMwED,https://api.spotify.com/v1/audio-analysis/5RmLAGgmyK4eEAcitgMwED
Aprendizaje,6,NA,NA,5sgSFmWDkxj0nn57u1IobT,0.407,0.15,7,-17.234,1,0.034,0.567,4.13e-5,0.119,0.141,117.493,225400,4,spotify:track:5sgSFmWDkxj0nn57u1IobT,https://api.spotify.com/v1/audio-analysis/5sgSFmWDkxj0nn57u1IobT
Bienvenidos al Tren,7,NA,NA,2ktpn5Vee4dQGVDgkovJLZ,0.433,0.367,7,-14.091,1,0.0304,0.0466,3.79e-6,0.347,0.481,125.517,194333,3,spotify:track:2ktpn5Vee4dQGVDgkovJLZ,https://api.spotify.com/v1/audio-analysis/2ktpn5Vee4dQGVDgkovJLZ
Estación,8,NA,NA,6DUfatWAWs9cFVWvNL0jwB,0.493,0.295,4,-16.225,0,0.0481,0.77,1.09e-6,0.0951,0.484,125.919,90973,4,spotify:track:6DUfatWAWs9cFVWvNL0jwB,https://api.spotify.com/v1/audio-analysis/6DUfatWAWs9cFVWvNL0jwB
El Fantasma de Canterville (En Vivo),9,NA,NA,0UYlS3k9Fu2XMi7rURrjFc,0.465,0.372,2,-14.127,1,0.0311,0.695,0,0.917,0.485,106.391,235000,4,spotify:track:0UYlS3k9Fu2XMi7rURrjFc,https://api.spotify.com/v1/audio-analysis/0UYlS3k9Fu2XMi7rURrjFc
Cuando Comenzamos a Nacer,10,NA,NA,5Hh8Jnk9uMugxiivIouaAB,0.425,0.22,9,-16.671,0,0.0391,0.62,1.26e-5,0.0812,0.314,137.482,163160,4,spotify:track:5Hh8Jnk9uMugxiivIouaAB,https://api.spotify.com/v1/audio-analysis/5Hh8Jnk9uMugxiivIouaAB
