fecha,clae6,w_mean
1/1/2007,620300,1824
2/1/2007,620300,1955
3/1/2007,620300,1875
4/1/2007,620300,2019
5/1/2007,620300,1982
6/1/2007,620300,2686
7/1/2007,620300,1960
8/1/2007,620300,2072
9/1/2007,620300,2178
10/1/2007,620300,2088
11/1/2007,620300,2039
12/1/2007,620300,3220
1/1/2008,620300,2536
2/1/2008,620300,2612
3/1/2008,620300,2543
4/1/2008,620300,2745
5/1/2008,620300,2665
6/1/2008,620300,3332
7/1/2008,620300,2822
8/1/2008,620300,2845
9/1/2008,620300,2969
10/1/2008,620300,3005
11/1/2008,620300,2690
12/1/2008,620300,4245
1/1/2009,620300,3036
2/1/2009,620300,3121
3/1/2009,620300,3056
4/1/2009,620300,3220
5/1/2009,620300,3207
6/1/2009,620300,4032
7/1/2009,620300,3434
8/1/2009,620300,3348
9/1/2009,620300,3338
10/1/2009,620300,3631
11/1/2009,620300,3477
12/1/2009,620300,5071
1/1/2010,620300,3728
2/1/2010,620300,3654
3/1/2010,620300,3690
4/1/2010,620300,3823
5/1/2010,620300,3678
6/1/2010,620300,5463
7/1/2010,620300,4025
8/1/2010,620300,4083
9/1/2010,620300,4138
10/1/2010,620300,4359
11/1/2010,620300,4506
12/1/2010,620300,7348
1/1/2011,620300,5041
2/1/2011,620300,5297
3/1/2011,620300,5049
4/1/2011,620300,5324
5/1/2011,620300,5450
6/1/2011,620300,7944
7/1/2011,620300,5965
8/1/2011,620300,5882
9/1/2011,620300,6264
10/1/2011,620300,6409
11/1/2011,620300,6294
12/1/2011,620300,9034
1/1/2012,620300,6915
2/1/2012,620300,6866
3/1/2012,620300,6644
4/1/2012,620300,6859
5/1/2012,620300,7205
6/1/2012,620300,10658
7/1/2012,620300,7384
8/1/2012,620300,7766
9/1/2012,620300,7688
10/1/2012,620300,7815
11/1/2012,620300,7889
12/1/2012,620300,11119
1/1/2013,620300,8353
2/1/2013,620300,8315
3/1/2013,620300,8606
4/1/2013,620300,8819
5/1/2013,620300,9040
6/1/2013,620300,13162
7/1/2013,620300,9250
8/1/2013,620300,9493
9/1/2013,620300,9364
10/1/2013,620300,9702
11/1/2013,620300,9844
12/1/2013,620300,14784
1/1/2014,620300,11139
2/1/2014,620300,10867
3/1/2014,620300,11190
4/1/2014,620300,12239
5/1/2014,620300,12050
6/1/2014,620300,16790
7/1/2014,620300,12712
8/1/2014,620300,12482
9/1/2014,620300,12832
10/1/2014,620300,13100
11/1/2014,620300,13720
12/1/2014,620300,20212
1/1/2015,620300,14025
2/1/2015,620300,14962
3/1/2015,620300,14900
4/1/2015,620300,15220
5/1/2015,620300,16013
6/1/2015,620300,23421
7/1/2015,620300,17168
8/1/2015,620300,16400
9/1/2015,620300,17766
10/1/2015,620300,17093
11/1/2015,620300,17480
12/1/2015,620300,26498
1/1/2016,620300,18749
2/1/2016,620300,19910
3/1/2016,620300,20530
4/1/2016,620300,21291
5/1/2016,620300,21777
6/1/2016,620300,31936
7/1/2016,620300,22762
8/1/2016,620300,22785
9/1/2016,620300,23263
10/1/2016,620300,24015
11/1/2016,620300,24316
12/1/2016,620300,34669
1/1/2017,620300,25696
2/1/2017,620300,25319
3/1/2017,620300,26297
4/1/2017,620300,27373
5/1/2017,620300,27727
6/1/2017,620300,40545
7/1/2017,620300,28689
8/1/2017,620300,28408
9/1/2017,620300,29489
10/1/2017,620300,30957
11/1/2017,620300,31029
12/1/2017,620300,45865
1/1/2018,620300,32508
2/1/2018,620300,34126
3/1/2018,620300,35722
4/1/2018,620300,36666
5/1/2018,620300,37039
6/1/2018,620300,53078
7/1/2018,620300,39671
8/1/2018,620300,41041
9/1/2018,620300,40591
10/1/2018,620300,45567
11/1/2018,620300,46008
12/1/2018,620300,66986
1/1/2019,620300,49358
2/1/2019,620300,50938
3/1/2019,620300,50200
4/1/2019,620300,54407
5/1/2019,620300,54514
6/1/2019,620300,80530
7/1/2019,620300,57757
8/1/2019,620300,66395
9/1/2019,620300,64722
10/1/2019,620300,75824
11/1/2019,620300,72560
12/1/2019,620300,104386
1/1/2020,620300,83946
2/1/2020,620300,85953
3/1/2020,620300,86870
4/1/2020,620300,87953
5/1/2020,620300,100264
6/1/2020,620300,124184
7/1/2020,620300,97314
8/1/2020,620300,107526
9/1/2020,620300,95176
10/1/2020,620300,106174
11/1/2020,620300,108782
12/1/2020,620300,152700
1/1/2021,620300,145316
2/1/2021,620300,129849
3/1/2021,620300,121705
4/1/2021,620300,132346
5/1/2021,620300,146035
6/1/2021,620300,211898
